ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2018-07-23,BMO Capital,46.0,45.14631652832031,2019-07-23,49.95498275756836
2018-07-24,Morgan Stanley,58.0,45.47383117675781,2019-07-24,49.91432571411133
2018-08-01,BMO Capital,49.75,47.476558685302734,2019-08-01,49.856910705566406
2018-08-01,Deutsche Bank,43.75,47.476558685302734,2019-08-01,49.856910705566406
2018-08-01,Canaccord Genuity,55.0,47.476558685302734,2019-08-01,49.856910705566406
2018-08-02,Citigroup,57.5,48.86433029174805,2019-08-02,48.80203628540039
2018-08-21,B of A Securities,62.5,50.84449768066406,2019-08-21,51.057220458984375
2018-08-31,Nomura,52.5,53.82129669189453,2019-09-03,49.39084243774414
2018-09-04,Canaccord Genuity,62.5,53.993900299072266,2019-09-04,50.22883224487305
2018-09-05,Morgan Stanley,61.25,53.64159393310547,2019-09-05,51.21088790893555
2018-09-05,DA Davidson,66.25,53.64159393310547,2019-09-05,51.21088790893555
2018-09-13,Morgan Stanley,61.75,53.532833099365234,2019-09-13,52.524295806884766
2018-09-13,B of A Securities,64.0,53.532833099365234,2019-09-13,52.524295806884766
2018-09-27,JP Morgan,68.0,53.1876335144043,2019-09-27,52.54110336303711
2018-09-28,Nomura,53.75,53.374420166015625,2019-09-30,53.77766799926758
2018-10-19,Wedbush,77.5,51.854095458984375,2019-10-21,57.74911880493164
2018-10-29,Jefferies,66.25,50.18244934082031,2019-10-29,58.41661834716797
2018-11-02,JP Morgan,67.5,49.0569953918457,2019-11-04,61.82859420776367
2018-11-02,Nomura,46.25,49.0569953918457,2019-11-04,61.82859420776367
2018-11-02,Baird,57.5,49.0569953918457,2019-11-04,61.82859420776367
2018-11-02,Citigroup,60.0,49.0569953918457,2019-11-04,61.82859420776367
2018-11-02,B of A Securities,55.0,49.0569953918457,2019-11-04,61.82859420776367
2018-11-02,BMO Capital,53.25,49.0569953918457,2019-11-04,61.82859420776367
2018-11-08,Morgan Stanley,63.25,49.467796325683594,2019-11-08,62.65003204345703
2018-11-14,UBS,56.25,44.32148742675781,2019-11-14,63.25209426879883
2018-11-20,Goldman Sachs,45.5,41.99150848388672,2019-11-20,63.38455581665039
