GradeDate,Firm,currentPriceTarget,priorPriceTarget
2018-07-23,BMO Capital,46.0,42.75
2018-07-24,Morgan Stanley,58.0,53.5
2018-08-01,BMO Capital,49.75,46.0
2018-08-01,Deutsche Bank,43.75,41.25
2018-08-01,Canaccord Genuity,55.0,52.0
2018-08-02,Citigroup,57.5,50.0
2018-08-21,B of A Securities,62.5,57.5
2018-08-31,Nomura,52.5,47.5
2018-09-04,Canaccord Genuity,62.5,55.0
2018-09-05,Morgan Stanley,61.25,58.0
2018-09-05,DA Davidson,66.25,57.5
2018-09-13,Morgan Stanley,61.75,61.25
2018-09-13,B of A Securities,64.0,62.5
2018-09-27,JP Morgan,68.0,0.0
2018-09-28,Nomura,53.75,52.5
2018-10-19,Wedbush,77.5,0.0
2018-10-29,Jefferies,66.25,0.0
2018-11-02,JP Morgan,67.5,68.0
2018-11-02,Nomura,46.25,53.75
2018-11-02,Baird,57.5,58.75
2018-11-02,Citigroup,60.0,66.25
2018-11-02,B of A Securities,55.0,58.75
2018-11-02,BMO Capital,53.25,54.75
2018-11-08,Morgan Stanley,63.25,56.5
2018-11-14,UBS,56.25,60.0
2018-11-20,Goldman Sachs,45.5,52.25
2018-11-29,Canaccord Genuity,56.25,62.5
2018-12-04,HSBC,50.0,51.25
2018-12-06,Rosenblatt,41.25,50.0
2018-12-07,Morgan Stanley,59.0,63.25
2018-12-10,Citigroup,50.0,60.0
2018-12-14,DA Davidson,70.0,72.5
2019-01-03,Baird,46.25,57.5
2019-01-03,Nomura,43.75,46.25
2019-01-03,Canaccord Genuity,47.5,56.25
2019-01-03,Wedbush,50.0,68.75
2019-01-03,Wells Fargo,40.0,52.5
2019-01-03,Citigroup,42.5,50.0
2019-01-03,Morgan Stanley,52.75,59.0
2019-01-03,B of A Securities,49.0,55.0
2019-01-04,Citigroup,42.5,50.0
2019-01-30,Nomura,42.5,43.75
2019-01-30,UBS,46.25,45.0
2019-01-30,Canaccord Genuity,46.25,47.5
2019-01-30,BMO Capital,9.5625,0.0
2019-01-30,Morgan Stanley,49.25,52.75
2019-01-30,Citigroup,42.5,0.0
2019-01-30,B of A Securities,45.0,47.5
2019-03-14,Cowen & Co.,55.0,0.0
2019-03-21,Citigroup,55.0,42.5
2019-03-21,Needham,56.25,45.0
2019-03-21,Wedbush,53.75,50.0
2019-03-26,Morgan Stanley,55.0,49.25
2019-03-26,Canaccord Genuity,57.5,46.25
2019-03-26,Baird,50.0,46.25
2019-03-26,UBS,53.75,46.25
2019-04-10,HSBC,45.0,40.0
2019-04-10,B of A Securities,55.0,52.5
2019-04-11,Credit Suisse,52.25,0.0
2019-04-24,Morgan Stanley,58.5,55.0
2019-04-25,UBS,58.75,53.75
2019-05-01,Wells Fargo,53.75,47.5
2019-05-01,Morgan Stanley,60.0,58.5
2019-05-01,Wedbush,58.75,56.25
2019-05-01,Canaccord Genuity,61.25,57.5
2019-05-01,B of A Securities,57.5,55.0
2019-05-17,Nomura,43.75,45.0
2019-05-23,UBS,56.25,58.75
2019-05-28,Citigroup,12.8125,13.75
2019-05-30,Morgan Stanley,57.75,60.0
2019-05-30,Morgan Stanley,57.75,60.0
2019-06-04,Canaccord Genuity,50.5,61.25
2019-06-06,Evercore ISI Group,51.25,0.0
2019-06-20,Deutsche Bank,51.25,0.0
2019-07-09,JP Morgan,59.75,58.25
2019-07-17,Goldman Sachs,46.75,42.75
2019-07-19,Nomura,45.0,43.75
2019-07-22,Morgan Stanley,61.75,57.75
2019-07-29,UBS,58.75,56.25
2019-07-31,Deutsche Bank,52.5,51.25
2019-07-31,B of A Securities,60.0,57.5
2019-07-31,Citigroup,62.5,51.25
2019-07-31,Nomura,46.25,45.0
2019-07-31,Piper Sandler,60.75,57.5
2019-07-31,Canaccord Genuity,60.0,50.5
2019-07-31,Cowen & Co.,62.5,55.0
2019-07-31,Wedbush,61.25,58.75
2019-08-08,Barclays,48.0,0.0
2019-09-11,B of A Securities,62.5,60.0
2019-09-11,Barclays,51.75,48.0
2019-09-11,Needham,62.5,56.25
2019-09-13,Goldman Sachs,41.25,46.75
2019-09-20,Cascend,67.5,65.0
2019-09-30,JP Morgan,66.25,60.75
2019-10-07,Nomura,51.25,46.25
2019-10-09,Canaccord Genuity,65.0,60.0
2019-10-10,Longbow Research,16.25,0.0
2019-10-11,Wedbush,66.25,61.25
2019-10-17,Barclays,56.0,51.75
2019-10-21,Raymond James,70.0,62.5
2019-10-22,Deutsche Bank,57.5,52.5
2019-10-23,Morgan Stanley,72.25,61.75
2019-10-24,UBS,68.75,58.75
2019-10-25,Cascend,67.5,65.0
2019-10-28,JP Morgan,68.75,66.25
2019-10-28,Credit Suisse,55.25,52.25
2019-10-28,B of A Securities,65.0,62.5
2019-10-28,Jefferies,71.25,65.0
2019-10-31,Cowen & Co.,72.5,62.5
2019-10-31,Nomura,56.25,51.25
2019-10-31,Morgan Stanley,74.0,72.25
2019-10-31,UBS,70.0,68.75
2019-10-31,Wells Fargo,61.25,53.75
2019-10-31,Cascend,70.0,67.5
2019-10-31,DA Davidson,75.0,67.5
2019-10-31,Piper Sandler,67.5,60.75
2019-10-31,Barclays,59.0,56.0
2019-10-31,Wedbush,75.0,66.25
2019-10-31,Canaccord Genuity,68.75,65.0
2019-11-13,RBC Capital,73.75,0.0
2019-11-14,Maxim Group,47.5,0.0
2019-11-15,JP Morgan,72.5,70.0
2019-11-15,Wedbush,81.25,75.0
