Date,ConsensusTarget,StockPrice,ForwardDate,StockPrice12mForward
2020-01-10,102.5,94.15799713134766,2021-01-11,155.7104949951172
2020-01-13,102.5,94.56500244140625,2021-01-12,156.04150390625
2020-01-14,102.5,93.47200012207031,2021-01-13,158.29449462890625
2020-01-15,102.5,93.10099792480469,2021-01-14,156.37350463867188
2020-01-16,106.25,93.89700317382812,2021-01-15,155.21249389648438
2020-01-17,109.25,93.23600006103516,2021-01-19,156.03799438476562
2020-01-21,109.25,94.5999984741211,2021-01-20,163.16900634765625
2020-01-22,110.0625,94.37300109863281,2021-01-21,165.34950256347656
2020-01-23,110.55,94.22899627685547,2021-01-22,164.6114959716797
2020-01-24,110.55,93.08200073242188,2021-01-25,164.6999969482422
2020-01-27,111.29166666666667,91.41699981689453,2021-01-26,166.30650329589844
2020-01-28,111.29166666666667,92.6624984741211,2021-01-27,161.62899780273438
2020-01-29,111.125,92.9000015258789,2021-01-28,161.88099670410156
2020-01-30,111.125,93.53399658203125,2021-01-29,160.30999755859375
2020-01-31,119.66666666666667,100.43599700927734,2021-02-01,167.1439971923828
2020-02-03,119.66666666666667,100.20999908447266,2021-02-02,169.0
2020-02-04,119.66666666666667,102.4834976196289,2021-02-03,165.62649536132812
2020-02-05,119.6774193548387,101.99349975585938,2021-02-04,166.5500030517578
2020-02-06,119.6774193548387,102.5114974975586,2021-02-05,167.6074981689453
2020-02-07,119.6774193548387,103.96399688720703,2021-02-08,166.14700317382812
2020-02-10,119.6774193548387,106.69550323486328,2021-02-09,165.25
2020-02-11,119.6774193548387,107.54000091552734,2021-02-10,164.32899475097656
2020-02-12,119.6774193548387,108.0,2021-02-11,163.10650634765625
2020-02-13,119.8828125,107.49349975585938,2021-02-12,163.885498046875
2020-02-14,119.8828125,106.74349975585938,2021-02-16,163.44749450683594
2020-02-18,119.8828125,107.78350067138672,2021-02-17,165.4320068359375
2020-02-19,119.8828125,108.51100158691406,2021-02-18,166.4114990234375
2020-02-20,119.8828125,107.65499877929688,2021-02-19,162.4949951171875
2020-02-21,119.8828125,104.79850006103516,2021-02-22,159.03700256347656
2020-02-24,119.8828125,100.4645004272461,2021-02-23,159.72500610351562
2020-02-25,119.8828125,98.63700103759766,2021-02-24,157.97650146484375
2020-02-26,119.8828125,98.97949981689453,2021-02-25,152.85800170898438
2020-02-27,119.8828125,94.21499633789062,2021-02-26,154.64649963378906
2020-02-28,119.8828125,94.1875,2021-03-01,157.3070068359375
2020-03-02,119.8828125,97.69750213623047,2021-03-02,154.72650146484375
2020-03-03,119.8828125,95.44950103759766,2021-03-03,150.25
2020-03-04,119.8828125,98.79149627685547,2021-03-04,148.8784942626953
2020-03-05,119.8828125,96.20149993896484,2021-03-05,150.0229949951172
2020-03-06,119.8828125,95.05449676513672,2021-03-08,147.59750366210938
2020-03-09,119.8828125,90.03050231933594,2021-03-09,153.1425018310547
2020-03-10,119.8828125,94.59100341796875,2021-03-10,152.8820037841797
2020-03-11,119.8828125,91.04299926757812,2021-03-11,155.67950439453125
2020-03-12,119.8828125,83.83049774169922,2021-03-12,154.47450256347656
2020-03-13,119.8828125,89.25,2021-03-15,154.08399963378906
2020-03-16,119.8828125,84.4574966430664,2021-03-16,154.59300231933594
2020-03-17,119.77272727272727,90.39199829101562,2021-03-17,156.7864990234375
2020-03-18,119.77272727272727,91.5,2021-03-18,151.39950561523438
2020-03-19,119.77272727272727,94.04650115966797,2021-03-19,153.7480010986328
2020-03-20,119.77272727272727,92.30449676513672,2021-03-22,155.5435028076172
2020-03-23,119.77272727272727,95.1415023803711,2021-03-23,156.875
2020-03-24,119.77272727272727,97.00499725341797,2021-03-24,154.35350036621094
2020-03-25,119.63235294117646,94.29199981689453,2021-03-25,152.31300354003906
2020-03-26,119.5,97.77449798583984,2021-03-26,152.60150146484375
2020-03-27,119.5,95.00499725341797,2021-03-29,153.7864990234375
2020-03-30,119.86111111111111,98.19750213623047,2021-03-30,152.76449584960938
2020-03-31,119.86111111111111,97.48600006103516,2021-03-31,154.70399475097656
2020-04-01,119.86111111111111,95.38500213623047,2021-04-01,158.0500030517578
2020-04-02,119.86111111111111,95.94149780273438,2021-04-05,161.3365020751953
2020-04-03,119.86111111111111,95.32949829101562,2021-04-05,161.3365020751953
2020-04-06,119.86111111111111,99.87950134277344,2021-04-06,161.1909942626953
2020-04-07,119.86111111111111,100.58000183105469,2021-04-07,163.96949768066406
2020-04-08,119.86111111111111,102.1500015258789,2021-04-08,164.96499633789062
2020-04-09,119.86111111111111,102.13800048828125,2021-04-09,168.61000061035156
2020-04-13,119.86111111111111,108.44349670410156,2021-04-13,170.0
2020-04-14,119.72972972972973,114.16600036621094,2021-04-14,166.64999389648438
2020-04-15,119.9342105263158,115.38400268554688,2021-04-15,168.95449829101562
2020-04-16,119.9342105263158,120.40950012207031,2021-04-16,169.9720001220703
2020-04-17,119.9342105263158,118.75,2021-04-19,168.60049438476562
2020-04-20,119.9342105263158,119.68049621582031,2021-04-20,166.7344970703125
2020-04-21,119.9342105263158,116.40599822998047,2021-04-21,168.1009979248047
2020-04-22,120.875,118.17449951171875,2021-04-22,165.45199584960938
2020-04-23,121.46341463414635,119.97250366210938,2021-04-23,167.04400634765625
2020-04-24,121.74418604651163,120.51100158691406,2021-04-26,170.4499969482422
2020-04-27,122.79347826086956,118.80000305175781,2021-04-27,170.8715057373047
2020-04-28,122.73404255319149,115.7040023803711,2021-04-28,172.9250030517578
2020-04-29,122.73404255319149,118.635498046875,2021-04-29,173.5655059814453
2020-04-30,122.98958333333333,123.69999694824219,2021-04-30,173.37100219726562
2020-05-01,126.75,114.302001953125,2021-05-03,169.32449340820312
2020-05-04,126.75,115.79949951171875,2021-05-04,165.593505859375
2020-05-05,126.75,115.88999938964844,2021-05-05,163.52699279785156
2020-05-06,126.47971014492754,117.56300354003906,2021-05-06,165.31849670410156
2020-05-07,126.47971014492754,118.38050079345703,2021-05-07,164.58050537109375
2020-05-08,126.47971014492754,118.98049926757812,2021-05-10,159.52450561523438
2020-05-11,126.47971014492754,120.44999694824219,2021-05-11,161.19549560546875
2020-05-12,126.47971014492754,117.84750366210938,2021-05-12,157.5970001220703
2020-05-13,126.47971014492754,118.39600372314453,2021-05-13,158.07350158691406
2020-05-14,126.47971014492754,119.44249725341797,2021-05-14,161.14500427246094
2020-05-15,126.47971014492754,120.48899841308594,2021-05-17,163.51950073242188
2020-05-18,126.47971014492754,121.31300354003906,2021-05-18,161.61399841308594
2020-05-19,126.47971014492754,122.46649932861328,2021-05-19,161.58999633789062
2020-05-20,126.47971014492754,124.89700317382812,2021-05-20,162.38400268554688
2020-05-21,126.47971014492754,122.33699798583984,2021-05-21,160.1540069580078
2020-05-22,126.47971014492754,121.84400177001953,2021-05-24,162.24949645996094
2020-05-26,126.53,121.09300231933594,2021-05-26,163.25799560546875
2020-05-27,126.53,120.51950073242188,2021-05-27,161.5054931640625
2020-05-28,126.53,120.05500030517578,2021-05-28,161.15350341796875
2020-05-29,126.53,122.11849975585938,2021-06-01,160.9324951171875
2020-06-01,126.71971830985916,123.552001953125,2021-06-01,160.9324951171875
2020-06-02,126.71971830985916,123.62049865722656,2021-06-02,161.69949340820312
2020-06-03,126.71971830985916,123.91999816894531,2021-06-03,159.35049438476562
2020-06-04,126.71971830985916,123.02999877929688,2021-06-04,160.31100463867188
2020-06-05,126.83472222222223,124.1500015258789,2021-06-07,159.90049743652344
2020-06-08,127.79466666666667,126.2030029296875,2021-06-08,163.20550537109375
2020-06-09,127.79466666666667,130.04299926757812,2021-06-09,164.0574951171875
2020-06-10,128.15263157894736,132.37249755859375,2021-06-10,167.4824981689453
2020-06-11,128.15263157894736,127.89800262451172,2021-06-11,167.3415069580078
2020-06-12,128.15263157894736,127.2509994506836,2021-06-14,169.19349670410156
2020-06-15,128.15263157894736,128.63400268554688,2021-06-15,169.156494140625
2020-06-16,128.15263157894736,130.7635040283203,2021-06-16,170.7624969482422
2020-06-17,128.56623376623378,132.0489959716797,2021-06-17,174.46200561523438
2020-06-18,128.56623376623378,132.69900512695312,2021-06-18,174.34500122070312
2020-06-19,128.56623376623378,133.75050354003906,2021-06-21,172.697998046875
2020-06-22,128.56623376623378,135.6909942626953,2021-06-22,175.27200317382812
