GradeDate,Firm,currentPriceTarget,priorPriceTarget
2020-01-10,Bernstein,2050.0,0.0
2020-01-16,Morgan Stanley,2200.0,2100.0
2020-01-17,UBS,2305.0,2100.0
2020-01-22,Pivotal Research,2250.0,2100.0
2020-01-23,"Monness, Crespi, Hardt",2250.0,0.0
2020-01-27,Benchmark,2300.0,2100.0
2020-01-29,Deutsche Bank,2275.0,2150.0
2020-01-29,BMO Capital,2150.0,2000.0
2020-01-31,"Monness, Crespi, Hardt",2650.0,2250.0
2020-01-31,CFRA,2300.0,1950.0
2020-01-31,B of A Securities,2480.0,2330.0
2020-01-31,Susquehanna,2500.0,2200.0
2020-01-31,Morgan Stanley,2400.0,2200.0
2020-01-31,RBC Capital,2700.0,2500.0
2020-01-31,DA Davidson,2625.0,2550.0
2020-01-31,Baird,2275.0,2080.0
2020-01-31,BMO Capital,2450.0,2150.0
2020-01-31,Piper Sandler,2450.0,2150.0
2020-01-31,JMP Securities,2450.0,2250.0
2020-01-31,Stifel,2400.0,2150.0
2020-01-31,Cowen & Co.,2650.0,2400.0
2020-01-31,UBS,2440.0,2305.0
2020-01-31,Raymond James,2400.0,2020.0
2020-01-31,Bernstein,2150.0,2050.0
2020-01-31,Oppenheimer,2400.0,2040.0
2020-01-31,Mizuho,2400.0,2150.0
2020-01-31,Credit Suisse,2400.0,2100.0
2020-01-31,Wells Fargo,2500.0,2300.0
2020-01-31,Keybanc,2400.0,2200.0
2020-01-31,Goldman Sachs,2600.0,2200.0
2020-02-05,Citigroup,2400.0,2200.0
2020-02-13,Aegis Capital,2525.0,2100.0
2020-03-17,Wedbush,2325.0,0.0
2020-03-25,Jefferies,2300.0,2300.0
2020-03-26,Deutsche Bank,2300.0,2400.0
2020-03-30,BMO Capital,2650.0,2450.0
2020-04-14,Mizuho,2300.0,2350.0
2020-04-15,Baird,2550.0,2275.0
2020-04-22,Wedbush,2750.0,2325.0
2020-04-22,Jefferies,2800.0,2300.0
2020-04-23,Goldman Sachs,2900.0,2600.0
2020-04-24,Stifel,2600.0,2400.0
2020-04-24,MKM Partners,2500.0,2325.0
2020-04-27,SunTrust Robinson Humphrey,2770.0,2450.0
2020-04-27,Oppenheimer,2700.0,2400.0
2020-04-27,Credit Suisse,2800.0,2400.0
2020-04-28,Bernstein,2400.0,2150.0
2020-04-30,Citigroup,2700.0,2400.0
2020-05-01,BMO Capital,2850.0,2650.0
2020-05-01,"Monness, Crespi, Hardt",2800.0,2650.0
2020-05-01,SunTrust Robinson Humphrey,2700.0,2770.0
2020-05-01,JMP Securities,2850.0,2650.0
2020-05-01,Wedbush,2750.0,2750.0
2020-05-01,Guggenheim,2700.0,2250.0
2020-05-01,Benchmark,2650.0,2450.0
2020-05-01,Stifel,2600.0,2600.0
2020-05-01,UBS,3000.0,2440.0
2020-05-01,Canaccord Genuity,2750.0,2600.0
2020-05-01,B of A Securities,2600.0,2480.0
2020-05-01,Mizuho,2550.0,2300.0
2020-05-01,Pivotal Research,2700.0,2450.0
2020-05-01,Morgan Stanley,2600.0,2400.0
2020-05-01,RBC Capital,2700.0,2600.0
2020-05-01,Raymond James,2525.0,2400.0
2020-05-01,Susquehanna,3000.0,2500.0
2020-05-01,Credit Suisse,2760.0,2800.0
2020-05-01,Keybanc,2700.0,2400.0
2020-05-01,MKM Partners,2525.0,2500.0
2020-05-06,China Renaissance,2162.0,1850.0
2020-05-26,B of A Securities,2600.0,2600.0
2020-06-01,Morgan Stanley,2800.0,2600.0
2020-06-05,Pivotal Research,2700.0,2700.0
2020-06-08,B of A Securities,3000.0,0.0
2020-06-08,RBC Capital,3300.0,2700.0
2020-06-08,Baird,2750.0,2550.0
2020-06-10,Jefferies,3100.0,2800.0
2020-06-17,Needham,3200.0,0.0
2020-06-24,Wedbush,3050.0,2750.0
2020-06-26,SunTrust Robinson Humphrey,3400.0,2700.0
2020-06-26,Deutsche Bank,3333.0,2750.0
2020-06-29,B of A Securities,3000.0,3000.0
2020-06-30,Mizuho,3100.0,2550.0
2020-07-01,Canaccord Genuity,3300.0,2750.0
2020-07-07,Baird,3300.0,2750.0
2020-07-10,Jefferies,3100.0,3100.0
2020-07-13,Mizuho,3450.0,3100.0
2020-07-13,Barclays,3430.0,2500.0
