ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-02-02,Barclays,17.0,10.148201942443848,2017-02-01,15.751115798950195
2016-02-16,JP Morgan,17.0,9.615044593811035,2017-02-15,15.928972244262695
2016-02-24,Sidoti & Co.,16.8,9.927323341369629,2017-02-23,16.28391456604004
2016-03-04,MKM Partners,16.2,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,Deutsche Bank,18.0,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,FBR Capital,18.5,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,Credit Suisse,18.0,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,Nomura,20.0,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,Goldman Sachs,17.5,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,JP Morgan,17.5,11.12463665008545,2017-03-06,16.85305404663086
2016-03-04,Morgan Stanley,18.2,11.12463665008545,2017-03-06,16.85305404663086
2016-05-02,Goldman Sachs,17.1,11.162997245788574,2017-05-02,17.512859344482422
2016-05-17,CLSA,16.5,10.787787437438965,2017-05-17,17.957963943481445
2016-06-03,Barclays,18.5,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,RBC Capital,18.5,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Oppenheimer,18.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Morgan Stanley,19.1,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Cowen & Co.,20.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Craig-Hallum,20.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Cantor Fitzgerald,20.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Jefferies,19.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Goldman Sachs,18.5,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,SunTrust Robinson Humphrey,21.1,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Brean Capital,19.0,12.42234992980957,2017-06-05,19.591564178466797
2016-06-03,Deutsche Bank,20.0,12.42234992980957,2017-06-05,19.591564178466797
2016-08-30,Credit Suisse,20.0,13.5684814453125,2017-08-30,19.192113876342773
2016-08-30,Barclays,18.5,13.5684814453125,2017-08-30,19.192113876342773
2016-09-02,Barclays,20.5,13.270283699035645,2017-09-05,19.428483963012695
2016-09-15,Nomura,18.0,13.280318260192871,2017-09-15,19.54549789428711
2016-10-04,Bernstein,21.5,12.998136520385742,2017-10-04,18.95568084716797
2016-10-05,Bernstein,21.5,13.338751792907715,2017-10-05,19.08649253845215
2016-12-06,Loop Capital,20.6,12.668281555175781,2017-12-06,20.670297622680664
2017-03-31,Macquarie,26.5,17.00872230529785,2018-04-02,18.215282440185547
2017-07-17,Morgan Stanley,29.0,19.4261417388916,2018-07-17,16.88909149169922
2017-08-25,Keybanc,29.0,19.158567428588867,2018-08-27,17.266910552978516
2017-08-25,Jefferies,28.6,19.158567428588867,2018-08-27,17.266910552978516
2017-10-18,Barclays,30.0,19.11233139038086,2018-10-18,18.625919342041016
2017-11-06,Nomura,30.0,21.737932205200195,2018-11-06,18.644704818725586
2017-11-20,BMO Capital,33.0,21.531143188476562,2018-11-20,18.60059928894043
2017-11-29,Canaccord Genuity,31.3,21.266386032104492,2018-11-29,19.25979995727539
2017-12-04,Keybanc,32.0,20.64837074279785,2018-12-04,18.954296112060547
2018-03-12,BMO Capital,34.5,20.72454071044922,2019-03-12,22.256938934326172
2018-03-15,Deutsche Bank,32.5,21.11248016357422,2019-03-15,23.962343215942383
2018-04-05,UBS,35.0,18.905715942382812,2019-04-05,25.34152603149414
2018-04-25,Piper Sandler,29.3,18.320886611938477,2019-04-25,25.969484329223633
2018-04-30,Morgan Stanley,32.0,18.354494094848633,2019-04-30,26.517498016357422
2018-05-01,Baird,29.0,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,JP Morgan,33.7,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,B of A Securities,28.5,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,B. Riley Securities,31.0,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,Canaccord Genuity,32.5,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,Deutsche Bank,31.0,18.43128776550293,2019-05-01,26.55913734436035
2018-05-01,Citigroup,27.5,18.43128776550293,2019-05-01,26.55913734436035
2018-05-24,Evercore ISI Group,30.0,19.483352661132812,2019-05-24,21.31560516357422
2018-06-08,Canaccord Genuity,33.5,20.63859748840332,2019-06-10,23.33689308166504
2018-06-08,Citigroup,30.0,20.63859748840332,2019-06-10,23.33689308166504
2018-06-08,B of A Securities,30.0,20.63859748840332,2019-06-10,23.33689308166504
2018-06-08,Jefferies,32.6,20.63859748840332,2019-06-10,23.33689308166504
2018-06-08,B. Riley Securities,30.8,20.63859748840332,2019-06-10,23.33689308166504
2018-06-15,Benchmark,30.0,21.619443893432617,2019-06-17,22.150941848754883
2018-06-22,Loop Capital,30.6,21.056440353393555,2019-06-24,23.47571563720703
2018-07-12,RBC Capital,30.0,17.024486541748047,2019-07-12,23.996183395385742
2018-07-12,B. Riley Securities,24.5,17.024486541748047,2019-07-12,23.996183395385742
2018-07-12,Nomura,22.5,17.024486541748047,2019-07-12,23.996183395385742
2018-07-16,B of A Securities,24.0,16.47884178161621,2019-07-16,23.890243530273438
2018-07-18,Goldman Sachs,22.0,16.927196502685547,2019-07-18,24.365306854248047
2018-07-20,UBS,30.0,17.052871704101562,2019-07-22,24.90091323852539
2018-07-25,Keybanc,26.0,18.32090950012207,2019-07-25,25.257413864135742
2018-09-07,B. Riley Securities,25.0,18.856822967529297,2019-09-09,24.603260040283203
2018-12-03,B. Riley Securities,30.0,19.773595809936523,2019-12-03,26.00999641418457
2018-12-03,Deutsche Bank,30.0,19.773595809936523,2019-12-03,26.00999641418457
2018-12-07,Morgan Stanley,25.0,18.670028686523438,2019-12-09,26.67695426940918
2018-12-07,MKM Partners,28.0,18.670028686523438,2019-12-09,26.67695426940918
2018-12-07,BMO Capital,25.0,18.670028686523438,2019-12-09,26.67695426940918
2018-12-07,UBS,27.5,18.670028686523438,2019-12-09,26.67695426940918
2019-01-07,Morgan Stanley,26.1,19.64435577392578,2020-01-07,26.79803466796875
2019-03-15,Mizuho,30.5,23.962343215942383,2020-03-16,16.078479766845703
2019-03-15,Barclays,27.5,23.962343215942383,2020-03-16,16.078479766845703
2019-03-15,BMO Capital,27.0,23.962343215942383,2020-03-16,16.078479766845703
2019-04-02,Keybanc,33.5,25.239089965820312,2020-04-01,19.494342803955078
2019-04-26,Keybanc,35.0,25.852060317993164,2020-04-27,23.40140151977539
2019-05-14,UBS,32.5,25.151641845703125,2020-05-13,22.939390182495117
2019-06-10,Morgan Stanley,26.2,23.33689308166504,2020-06-09,27.48716926574707
2019-06-14,Keybanc,31.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,Morgan Stanley,25.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,UBS,31.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,Barclays,31.5,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,BMO Capital,26.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,JP Morgan,35.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,Deutsche Bank,31.5,22.147605895996094,2020-06-15,26.50822639465332
2019-06-14,Citigroup,30.0,22.147605895996094,2020-06-15,26.50822639465332
2019-06-17,Baird,28.0,22.150941848754883,2020-06-16,27.086179733276367
2019-07-23,RBC Capital,32.0,25.290205001831055,2020-07-22,27.636484146118164
2019-08-09,Keybanc,33.0,23.18394660949707,2020-08-10,28.830724716186523
2019-09-13,Morgan Stanley,26.5,24.410707473754883,2020-09-14,31.89909553527832
2019-09-13,Loop Capital,31.0,24.410707473754883,2020-09-14,31.89909553527832
2019-09-13,Wells Fargo,30.0,24.410707473754883,2020-09-14,31.89909553527832
2019-09-13,Mizuho,34.0,24.410707473754883,2020-09-14,31.89909553527832
2019-09-13,Keybanc,34.0,24.410707473754883,2020-09-14,31.89909553527832
2019-09-13,SunTrust Robinson Humphrey,32.2,24.410707473754883,2020-09-14,31.89909553527832
2019-11-11,Morgan Stanley,29.8,26.538644790649414,2020-11-10,32.27256774902344
2019-11-19,Morgan Stanley,36.7,26.958681106567383,2020-11-18,33.82696533203125
2019-11-22,Cascend,35.0,26.7227840423584,2020-11-23,34.39397048950195
