GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-02-02,Barclays,17.0,0.0
2016-02-16,JP Morgan,17.0,0.0
2016-02-24,Sidoti & Co.,16.8,18.0
2016-03-04,MKM Partners,16.2,16.0
2016-03-04,Deutsche Bank,18.0,15.7
2016-03-04,FBR Capital,18.5,18.0
2016-03-04,Credit Suisse,18.0,16.0
2016-03-04,Nomura,20.0,17.5
2016-03-04,Goldman Sachs,17.5,15.5
2016-03-04,JP Morgan,17.5,17.0
2016-03-04,Morgan Stanley,18.2,18.0
2016-05-02,Goldman Sachs,17.1,17.5
2016-05-17,CLSA,16.5,0.0
2016-06-03,Barclays,18.5,17.0
2016-06-03,RBC Capital,18.5,18.0
2016-06-03,Oppenheimer,18.0,17.0
2016-06-03,Morgan Stanley,19.1,18.2
2016-06-03,Cowen & Co.,20.0,19.0
2016-06-03,Craig-Hallum,20.0,19.0
2016-06-03,Cantor Fitzgerald,20.0,18.5
2016-06-03,Jefferies,19.0,18.0
2016-06-03,Goldman Sachs,18.5,17.1
2016-06-03,SunTrust Robinson Humphrey,21.1,18.9
2016-06-03,Brean Capital,19.0,18.0
2016-06-03,Deutsche Bank,20.0,18.0
2016-08-30,Credit Suisse,20.0,18.0
2016-08-30,Barclays,18.5,0.0
2016-09-02,Barclays,20.5,18.5
2016-09-15,Nomura,18.0,20.0
2016-10-04,Bernstein,21.5,0.0
2016-10-05,Bernstein,21.5,0.0
2016-12-06,Loop Capital,20.6,0.0
2017-03-31,Macquarie,26.5,0.0
2017-07-17,Morgan Stanley,29.0,28.0
2017-08-25,Keybanc,29.0,28.0
2017-08-25,Jefferies,28.6,27.0
2017-10-18,Barclays,30.0,29.0
2017-11-06,Nomura,30.0,27.5
2017-11-20,BMO Capital,33.0,20.0
2017-11-29,Canaccord Genuity,31.3,30.0
2017-12-04,Keybanc,32.0,29.0
2018-03-12,BMO Capital,34.5,33.0
2018-03-15,Deutsche Bank,32.5,29.5
2018-04-05,UBS,35.0,0.0
2018-04-25,Piper Sandler,29.3,0.0
2018-04-30,Morgan Stanley,32.0,30.5
2018-05-01,Baird,29.0,31.5
2018-05-01,JP Morgan,33.7,34.0
2018-05-01,B of A Securities,28.5,30.0
2018-05-01,B. Riley Securities,31.0,33.5
2018-05-01,Canaccord Genuity,32.5,34.0
2018-05-01,Deutsche Bank,31.0,32.5
2018-05-01,Citigroup,27.5,30.0
2018-05-24,Evercore ISI Group,30.0,0.0
2018-06-08,Canaccord Genuity,33.5,32.5
2018-06-08,Citigroup,30.0,27.5
2018-06-08,B of A Securities,30.0,28.5
2018-06-08,Jefferies,32.6,31.9
2018-06-08,B. Riley Securities,30.8,31.0
2018-06-15,Benchmark,30.0,0.0
2018-06-22,Loop Capital,30.6,0.0
2018-07-12,RBC Capital,30.0,33.0
2018-07-12,B. Riley Securities,24.5,30.8
2018-07-12,Nomura,22.5,25.0
2018-07-16,B of A Securities,24.0,0.0
2018-07-18,Goldman Sachs,22.0,30.0
2018-07-20,UBS,30.0,33.0
2018-07-25,Keybanc,26.0,32.5
2018-09-07,B. Riley Securities,25.0,24.5
2018-12-03,B. Riley Securities,30.0,25.0
2018-12-03,Deutsche Bank,30.0,31.0
2018-12-07,Morgan Stanley,25.0,26.0
2018-12-07,MKM Partners,28.0,25.5
2018-12-07,BMO Capital,25.0,23.0
2018-12-07,UBS,27.5,30.0
2019-01-07,Morgan Stanley,26.1,26.5
2019-03-15,Mizuho,30.5,29.5
2019-03-15,Barclays,27.5,26.5
2019-03-15,BMO Capital,27.0,25.0
