ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-07-29,UBS,46.25,39.219234466552734,2017-07-31,46.85948944091797
2016-07-29,Citigroup,45.5,39.219234466552734,2017-07-31,46.85948944091797
2016-07-29,CLSA,49.5,39.219234466552734,2017-07-31,46.85948944091797
2016-07-29,SunTrust Robinson Humphrey,45.0,39.219234466552734,2017-07-31,46.85948944091797
2016-07-29,JMP Securities,46.4,39.219234466552734,2017-07-31,46.85948944091797
2016-07-29,Deutsche Bank,52.5,39.219234466552734,2017-07-31,46.85948944091797
2016-12-21,Aegis Capital,49.0,40.2530632019043,2017-12-21,53.071895599365234
2017-03-20,Pivotal Research,47.5,43.01408004760742,2018-03-20,54.30843734741211
2017-03-27,Nomura,46.25,41.557003021240234,2018-03-27,49.90447998046875
2017-03-28,Barclays,53.25,41.66207504272461,2018-03-28,49.81725311279297
2017-03-31,Loop Capital,40.0,42.017417907714844,2018-04-02,50.186485290527344
2017-04-04,BMO Capital,44.0,42.25382995605469,2018-04-04,51.03297805786133
2017-07-25,B of A Securities,55.0,48.02564239501953,2018-07-25,63.23627471923828
2017-07-25,Morgan Stanley,52.0,48.02564239501953,2018-07-25,63.23627471923828
2017-08-16,SunTrust Robinson Humphrey,55.0,46.79853057861328,2018-08-16,60.665061950683594
2017-09-27,Wells Fargo,62.5,47.573158264160156,2018-09-27,59.83740997314453
2017-10-11,Credit Suisse,67.5,49.840553283691406,2018-10-11,54.05765914916992
2017-10-27,Stifel,57.5,51.2292366027832,2018-10-29,51.281776428222656
2017-10-27,Citigroup,60.0,51.2292366027832,2018-10-29,51.281776428222656
2017-10-27,BMO Capital,50.0,51.2292366027832,2018-10-29,51.281776428222656
2017-10-27,Canaccord Genuity,52.5,51.2292366027832,2018-10-29,51.281776428222656
2017-10-30,Citigroup,60.0,51.20248031616211,2018-10-30,52.01427459716797
2017-12-06,Evercore ISI Group,61.5,51.182159423828125,2018-12-06,53.43022155761719
2018-01-26,Morgan Stanley,60.75,58.856109619140625,2019-01-28,53.51844024658203
2018-02-02,Stifel,57.5,55.4681510925293,2019-02-04,56.56938552856445
2018-02-02,Morgan Stanley,60.0,55.4681510925293,2019-02-04,56.56938552856445
2018-02-02,BMO Capital,55.0,55.4681510925293,2019-02-04,56.56938552856445
2018-02-02,B of A Securities,68.0,55.4681510925293,2019-02-04,56.56938552856445
2018-02-02,Barclays,66.5,55.4681510925293,2019-02-04,56.56938552856445
2018-04-10,Morgan Stanley,58.75,51.369503021240234,2019-04-10,59.79230499267578
2018-04-20,Credit Suisse,67.5,53.39255905151367,2019-04-22,62.137020111083984
2018-04-23,Credit Suisse,67.5,53.21860122680664,2019-04-23,62.97112274169922
2018-04-24,Morgan Stanley,60.0,50.682586669921875,2019-04-24,62.448753356933594
2018-04-24,Barclays,62.5,50.682586669921875,2019-04-24,62.448753356933594
2018-04-24,Keybanc,61.5,50.682586669921875,2019-04-24,62.448753356933594
2018-04-24,Stifel,61.7,50.682586669921875,2019-04-24,62.448753356933594
2018-06-28,Morgan Stanley,62.5,55.843814849853516,2019-06-28,53.664146423339844
2018-07-11,Nomura,70.0,58.058189392089844,2019-07-11,56.70121765136719
2018-07-13,Barclays,67.5,59.69169998168945,2019-07-15,57.019893646240234
2018-07-16,Credit Suisse,66.5,59.299678802490234,2019-07-16,57.16609191894531
2018-07-24,Stifel,72.8,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,JMP Securities,69.5,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,Canaccord Genuity,58.5,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,Barclays,70.75,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,Morgan Stanley,66.25,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,B. Riley Securities,73.75,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,BMO Capital,57.5,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,Credit Suisse,68.75,62.354591369628906,2019-07-24,56.48563003540039
2018-07-24,B of A Securities,69.5,62.354591369628906,2019-07-24,56.48563003540039
2018-08-29,Morgan Stanley,75.75,62.67673110961914,2019-08-29,59.18717575073242
2018-10-18,Wedbush,67.5,54.41300582885742,2019-10-18,61.673622131347656
2018-10-26,Canaccord Genuity,57.0,53.71123123168945,2019-10-28,63.882530212402344
2018-10-26,Barclays,70.0,53.71123123168945,2019-10-28,63.882530212402344
2018-10-26,B of A Securities,67.5,53.71123123168945,2019-10-28,63.882530212402344
2018-11-02,JMP Securities,68.75,53.10361862182617,2019-11-04,63.91376495361328
2018-11-14,Morgan Stanley,75.0,52.26554870605469,2019-11-14,64.88215637207031
2018-12-06,Guggenheim,66.5,53.43022155761719,2019-12-06,66.38087463378906
2019-01-07,Pivotal Research,62.0,53.323177337646484,2020-01-07,69.14240264892578
2019-02-05,Barclays,67.5,57.08729934692383,2020-02-05,71.6670150756836
2019-02-05,Nomura,65.5,57.08729934692383,2020-02-05,71.6670150756836
2019-02-05,BMO Capital,55.0,57.08729934692383,2020-02-05,71.6670150756836
2019-02-05,Citigroup,66.25,57.08729934692383,2020-02-05,71.6670150756836
2019-03-05,Needham,67.5,57.94568634033203,2020-03-04,68.47283935546875
2019-04-25,BMO Capital,60.0,62.81005096435547,2020-04-24,63.268985748291016
