GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-07-29,UBS,46.25,44.0
2016-07-29,Citigroup,45.5,45.0
2016-07-29,CLSA,49.5,48.5
2016-07-29,SunTrust Robinson Humphrey,45.0,42.5
2016-07-29,JMP Securities,46.4,45.2
2016-07-29,Deutsche Bank,52.5,55.0
2016-12-21,Aegis Capital,49.0,0.0
2017-03-20,Pivotal Research,47.5,48.5
2017-03-27,Nomura,46.25,47.5
2017-03-28,Barclays,53.25,0.0
2017-03-31,Loop Capital,40.0,0.0
2017-04-04,BMO Capital,44.0,50.25
2017-07-25,B of A Securities,55.0,51.75
2017-07-25,Morgan Stanley,52.0,52.5
2017-08-16,SunTrust Robinson Humphrey,55.0,0.0
2017-09-27,Wells Fargo,62.5,57.5
2017-10-11,Credit Suisse,67.5,55.0
2017-10-27,Stifel,57.5,53.75
2017-10-27,Citigroup,60.0,59.0
2017-10-27,BMO Capital,50.0,48.5
2017-10-27,Canaccord Genuity,52.5,50.0
2017-10-30,Citigroup,60.0,59.0
2017-12-06,Evercore ISI Group,61.5,0.0
2018-01-26,Morgan Stanley,60.75,60.5
2018-02-02,Stifel,57.5,57.5
2018-02-02,Morgan Stanley,60.0,60.75
2018-02-02,BMO Capital,55.0,54.0
2018-02-02,B of A Securities,68.0,67.0
2018-02-02,Barclays,66.5,63.0
2018-04-10,Morgan Stanley,58.75,60.0
2018-04-20,Credit Suisse,67.5,70.0
2018-04-23,Credit Suisse,67.5,70.0
2018-04-24,Morgan Stanley,60.0,58.75
2018-04-24,Barclays,62.5,66.5
2018-04-24,Keybanc,61.5,64.0
2018-04-24,Stifel,61.7,57.5
2018-06-28,Morgan Stanley,62.5,60.0
2018-07-11,Nomura,70.0,0.0
2018-07-13,Barclays,67.5,62.5
2018-07-16,Credit Suisse,66.5,67.5
2018-07-24,Stifel,72.8,61.7
2018-07-24,JMP Securities,69.5,61.75
2018-07-24,Canaccord Genuity,58.5,52.5
2018-07-24,Barclays,70.75,67.5
2018-07-24,Morgan Stanley,66.25,62.5
2018-07-24,B. Riley Securities,73.75,67.5
2018-07-24,BMO Capital,57.5,55.0
2018-07-24,Credit Suisse,68.75,66.5
2018-07-24,B of A Securities,69.5,63.5
2018-08-29,Morgan Stanley,75.75,66.25
2018-10-18,Wedbush,67.5,0.0
2018-10-26,Canaccord Genuity,57.0,58.5
2018-10-26,Barclays,70.0,70.75
2018-10-26,B of A Securities,67.5,69.5
2018-11-02,JMP Securities,68.75,69.5
2018-11-14,Morgan Stanley,75.0,75.75
2018-12-06,Guggenheim,66.5,0.0
2019-01-07,Pivotal Research,62.0,50.5
2019-02-05,Barclays,67.5,70.0
2019-02-05,Nomura,65.5,67.5
2019-02-05,BMO Capital,55.0,56.75
2019-02-05,Citigroup,66.25,67.5
2019-03-05,Needham,67.5,0.0
