Date,ConsensusTarget,StockPrice,ForwardDate,StockPrice12mForward
2016-03-15,105.0,60.21778869628906,2017-03-15,74.5228500366211
2016-03-16,105.0,61.26594924926758,2017-03-16,73.75055694580078
2016-03-17,105.0,58.37508010864258,2017-03-17,72.85679626464844
2016-03-18,105.0,59.97266387939453,2017-03-20,72.94355010986328
2016-03-21,105.0,59.38100051879883,2017-03-21,72.65719604492188
2016-03-22,105.0,60.79258346557617,2017-03-22,73.2038803100586
2016-03-23,105.0,60.158626556396484,2017-03-23,73.25593566894531
2016-03-24,105.0,60.11635971069336,2017-03-24,73.0477066040039
2016-03-28,105.0,59.69374465942383,2017-03-28,73.54230499267578
2016-03-29,105.0,60.606632232666016,2017-03-29,73.27330780029297
2016-03-30,105.0,60.67424774169922,2017-03-30,73.55099487304688
2016-03-31,105.0,60.86867141723633,2017-03-31,72.98695373535156
2016-04-01,105.0,62.060508728027344,2017-04-03,73.281982421875
2016-04-04,105.0,61.85764694213867,2017-04-04,74.70509338378906
2016-04-05,105.0,61.73931121826172,2017-04-05,74.30595397949219
2016-04-06,105.0,63.19318771362305,2017-04-06,74.07160949707031
2016-04-07,105.0,63.04949951171875,2017-04-07,74.03692626953125
2016-04-08,105.0,62.88041687011719,2017-04-10,74.16707611083984
2016-04-11,105.0,62.50850296020508,2017-04-11,74.56626892089844
2016-04-12,105.0,63.032588958740234,2017-04-12,74.84394836425781
2016-04-13,105.0,63.531288146972656,2017-04-13,74.5228500366211
2016-04-14,105.0,63.92857360839844,2017-04-17,71.48572540283203
2016-04-15,105.0,63.84407043457031,2017-04-17,71.48572540283203
2016-04-18,105.0,65.27256774902344,2017-04-18,70.46177673339844
2016-04-19,105.0,65.29792785644531,2017-04-19,70.19276428222656
2016-04-20,105.0,65.15424346923828,2017-04-20,71.10391998291016
2016-04-21,105.0,65.39937591552734,2017-04-21,71.06051635742188
2016-04-22,105.0,65.78822326660156,2017-04-24,72.38822174072266
2016-04-25,105.0,65.88118743896484,2017-04-25,70.46177673339844
2016-04-26,105.0,64.46954345703125,2017-04-26,70.25350952148438
2016-04-27,105.0,64.67242431640625,2017-04-27,70.5745849609375
2016-04-28,105.0,64.63018035888672,2017-04-28,71.2080307006836
2016-04-29,105.0,63.84407043457031,2017-05-01,70.9997787475586
2016-05-02,99.0,64.87528991699219,2017-05-02,70.89566040039062
2016-05-03,99.0,64.4526596069336,2017-05-03,70.50515747070312
2016-05-04,99.0,63.286163330078125,2017-05-04,72.0584487915039
2016-05-05,99.0,63.62427520751953,2017-05-05,71.59854888916016
2016-05-06,99.0,63.05794906616211,2017-05-08,70.0018539428711
2016-05-09,99.0,63.89476776123047,2017-05-09,70.10600280761719
2016-05-10,99.0,64.98517608642578,2017-05-10,70.33163452148438
2016-05-11,99.0,64.93414306640625,2017-05-11,70.06085205078125
2016-05-12,99.0,64.63631439208984,2017-05-12,70.03466796875
2016-05-13,99.0,64.9511489868164,2017-05-15,70.13074493408203
2016-05-16,99.0,66.61894989013672,2017-05-16,68.98662567138672
2016-05-17,99.0,65.00220489501953,2017-05-17,68.2442855834961
2016-05-18,99.0,64.9511489868164,2017-05-18,68.38402557373047
2016-05-19,99.0,63.23227310180664,2017-05-19,67.94734954833984
2016-05-20,99.0,63.657737731933594,2017-05-22,67.23121643066406
2016-05-23,99.0,63.03657531738281,2017-05-23,68.11326599121094
2016-05-24,99.0,63.8109130859375,2017-05-24,68.08708190917969
2016-05-25,99.0,63.4279899597168,2017-05-25,68.41896057128906
2016-05-26,99.0,64.26187896728516,2017-05-26,68.16568756103516
2016-05-27,99.0,63.8109130859375,2017-05-30,68.42768859863281
2016-05-31,99.0,63.84494400024414,2017-05-31,69.49317169189453
2016-06-01,99.0,63.768367767333984,2017-06-01,69.8599853515625
2016-06-02,99.0,64.21086120605469,2017-06-02,69.9822769165039
2016-06-03,99.0,63.92152786254883,2017-06-05,69.30106353759766
2016-06-06,99.0,63.68326187133789,2017-06-06,69.07398223876953
2016-06-07,99.0,63.56414031982422,2017-06-07,69.33598327636719
2016-06-08,99.0,63.742835998535156,2017-06-08,69.95606994628906
2016-06-09,99.0,63.33438491821289,2017-06-09,70.77703094482422
2016-06-10,99.0,62.92594909667969,2017-06-12,70.65474700927734
2016-06-13,99.0,62.8493537902832,2017-06-13,70.96044921875
2016-06-14,99.0,63.240814208984375,2017-06-14,71.26611328125
2016-06-15,99.0,62.721710205078125,2017-06-15,71.65911865234375
2016-06-16,99.0,63.181217193603516,2017-06-16,71.51065826416016
2016-06-17,99.0,62.8493537902832,2017-06-19,71.91241455078125
2016-06-20,99.0,62.35581588745117,2017-06-20,72.27045440673828
2016-06-21,99.0,61.75166702270508,2017-06-21,72.1744155883789
2016-06-22,99.0,62.177101135253906,2017-06-22,73.63290405273438
2016-06-23,99.0,62.91743469238281,2017-06-23,73.26608276367188
2016-06-24,99.0,63.24929428100586,2017-06-26,73.60670471191406
2016-06-27,99.0,63.725826263427734,2017-06-27,72.52375030517578
2016-06-28,99.0,63.94705581665039,2017-06-28,72.5761489868164
2016-06-29,99.0,66.49980926513672,2017-06-29,72.22679138183594
2016-06-30,99.0,67.01036834716797,2017-06-30,71.8774642944336
2016-07-01,99.0,67.18054962158203,2017-07-03,72.22679138183594
2016-07-05,99.0,67.76770782470703,2017-07-05,72.22679138183594
2016-07-06,99.0,68.09105682373047,2017-07-06,71.26611328125
2016-07-07,99.0,67.49542999267578,2017-07-07,71.86874389648438
2016-07-08,99.0,67.78471374511719,2017-07-10,71.8599853515625
2016-07-11,99.0,67.34223175048828,2017-07-11,71.92112731933594
2016-07-12,99.0,67.79322052001953,2017-07-12,72.92549133300781
2016-07-13,99.0,67.5294418334961,2017-07-13,73.37963104248047
2016-07-14,100.5,68.57608795166016,2017-07-14,73.66783142089844
2016-07-15,100.5,68.26124572753906,2017-07-17,73.04778289794922
2016-07-18,100.5,68.031494140625,2017-07-18,73.10016632080078
2016-07-19,100.5,68.04850769042969,2017-07-19,73.56304168701172
2016-07-20,100.5,68.31231689453125,2017-07-20,74.01717376708984
2016-07-21,100.5,68.41442108154297,2017-07-21,73.93858337402344
2016-07-22,100.5,69.42701721191406,2017-07-24,74.00843048095703
2016-07-25,100.5,69.75887298583984,2017-07-25,71.78138732910156
2016-07-26,100.5,69.85245513916016,2017-07-26,71.4756851196289
2016-07-27,100.5,70.96720123291016,2017-07-27,72.50627899169922
2016-07-28,100.5,70.56723022460938,2017-07-28,72.5761489868164
2016-07-29,100.5,70.5332260131836,2017-07-31,72.1918716430664
2016-08-01,100.5,70.77998352050781,2017-08-01,71.93861389160156
2016-08-02,100.5,70.89912414550781,2017-08-02,71.45826721191406
2016-08-03,100.5,70.38856506347656,2017-08-03,71.55432891845703
2016-08-04,100.5,70.1332778930664,2017-08-04,71.88618469238281
2016-08-05,100.5,69.4014892578125,2017-08-07,71.67659759521484
2016-08-08,100.5,69.43550872802734,2017-08-08,71.58926391601562
2016-08-09,100.5,69.35042572021484,2017-08-09,72.11328887939453
2016-08-10,100.5,68.54204559326172,2017-08-10,71.65911865234375
2016-08-11,100.5,68.98735046386719,2017-08-11,71.32511138916016
2016-08-12,100.5,68.69619750976562,2017-08-14,71.62395477294922
2016-08-15,100.5,68.73043060302734,2017-08-15,71.81731414794922
2016-08-16,100.5,68.37079620361328,2017-08-16,70.9207992553711
2016-08-17,100.5,68.60199737548828,2017-08-17,68.3807144165039
2016-08-18,100.5,68.31940460205078,2017-08-18,67.73908233642578
2016-08-19,100.5,67.70284271240234,2017-08-21,68.0115737915039
2016-08-22,100.5,67.89979553222656,2017-08-22,68.7850341796875
2016-08-23,100.5,68.13956451416016,2017-08-23,68.68833923339844
2016-08-24,100.5,67.17189025878906,2017-08-24,69.3123779296875
2016-08-25,100.5,66.80367279052734,2017-08-25,69.2508544921875
2016-08-26,100.5,67.00061798095703,2017-08-28,69.2947998046875
2016-08-29,100.5,67.30888366699219,2017-08-29,69.03992462158203
2016-08-30,100.5,66.5981216430664,2017-08-30,70.74502563476562
2016-08-31,100.5,66.58101654052734,2017-08-31,71.44815063476562
2016-09-01,100.5,66.13570404052734,2017-09-01,70.38468933105469
2016-09-02,100.5,65.81031036376953,2017-09-05,70.1561508178711
2016-09-06,100.5,67.2318344116211,2017-09-06,70.76261138916016
2016-09-07,100.5,67.30034637451172,2017-09-07,71.66791534423828
2016-09-08,99.4,68.41358947753906,2017-09-08,72.88084411621094
2016-09-09,99.4,67.00061798095703,2017-09-11,72.62593078613281
2016-09-12,98.0,67.71996307373047,2017-09-12,72.22163391113281
2016-09-13,98.0,67.20613098144531,2017-09-13,72.45015716552734
2016-09-14,98.0,67.04344177246094,2017-09-14,73.0126724243164
2016-09-15,98.0,67.497314453125,2017-09-15,72.45893859863281
2016-09-16,98.0,67.48017883300781,2017-09-18,72.52925109863281
2016-09-19,98.0,67.78844451904297,2017-09-19,71.83490753173828
2016-09-20,98.0,68.40501403808594,2017-09-20,72.08979034423828
2016-09-21,98.0,69.25279998779297,2017-09-21,73.24116516113281
2016-09-22,98.0,69.61247253417969,2017-09-22,73.75096893310547
