ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-03-15,Jefferies,105.0,60.21778869628906,2017-03-15,74.5228500366211
2016-05-02,Credit Suisse,91.0,64.87528991699219,2017-05-02,70.89566040039062
2016-05-02,Leerink Swann,101.0,64.87528991699219,2017-05-02,70.89566040039062
2016-07-14,Jefferies,105.0,68.57608795166016,2017-07-14,73.66783142089844
2016-09-08,JP Morgan,95.0,68.41358947753906,2017-09-08,72.88084411621094
2016-09-27,Goldman Sachs,95.0,69.2613754272461,2017-09-27,74.4013671875
2016-11-25,BMO Capital,64.0,59.5783576965332,2017-11-27,75.01277923583984
2016-12-16,Morgan Stanley,82.0,63.18993377685547,2017-12-18,76.13604736328125
2017-07-17,Deutsche Bank,91.0,73.04778289794922,2018-07-17,80.36286163330078
2017-07-17,Jefferies,96.0,73.04778289794922,2018-07-17,80.36286163330078
2017-09-06,BMO Capital,71.0,70.76261138916016,2018-09-06,95.06119537353516
2017-09-15,Jefferies,96.0,72.45893859863281,2018-09-17,95.36791229248047
2017-10-10,BMO Capital,73.0,75.72856140136719,2018-10-10,102.25141906738281
2017-10-13,Barclays,98.0,76.07134246826172,2018-10-15,99.79752349853516
2017-10-23,Leerink Swann,93.0,76.62506103515625,2018-10-23,99.59002685546875
2017-11-21,Morgan Stanley,90.0,73.86294555664062,2018-11-21,101.75978088378906
2018-02-01,BMO Capital,74.0,72.89000701904297,2019-02-01,109.61188507080078
2018-02-01,B of A Securities,86.0,72.89000701904297,2019-02-01,109.61188507080078
2018-04-25,BMO Capital,78.0,72.30084228515625,2019-04-25,107.78103637695312
2018-06-08,Cantor Fitzgerald,100.0,77.23161315917969,2019-06-10,104.44371032714844
2018-06-21,Credit Suisse,84.0,77.22262573242188,2019-06-21,105.87382507324219
2018-07-17,B of A Securities,90.0,80.36286163330078,2019-07-17,98.17323303222656
2018-07-19,BMO Capital,80.0,80.23724365234375,2019-07-19,97.89824676513672
2018-07-25,B of A Securities,94.0,86.51766967773438,2019-07-25,98.84246063232422
2018-07-25,BMO Capital,90.0,86.51766967773438,2019-07-25,98.84246063232422
