GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-03-15,Jefferies,105.0,110.0
2016-05-02,Credit Suisse,91.0,94.0
2016-05-02,Leerink Swann,101.0,96.0
2016-07-14,Jefferies,105.0,100.0
2016-09-08,JP Morgan,95.0,92.0
2016-09-27,Goldman Sachs,95.0,89.0
2016-11-25,BMO Capital,64.0,0.0
2016-12-16,Morgan Stanley,82.0,73.0
2017-07-17,Deutsche Bank,91.0,90.0
2017-07-17,Jefferies,96.0,95.0
2017-09-06,BMO Capital,71.0,73.0
2017-09-15,Jefferies,96.0,89.0
2017-10-10,BMO Capital,73.0,71.0
2017-10-13,Barclays,98.0,90.0
2017-10-23,Leerink Swann,93.0,92.0
2017-11-21,Morgan Stanley,90.0,86.0
2018-02-01,BMO Capital,74.0,73.0
2018-02-01,B of A Securities,86.0,88.0
2018-04-25,BMO Capital,78.0,79.0
2018-06-08,Cantor Fitzgerald,100.0,0.0
2018-06-21,Credit Suisse,84.0,82.0
2018-07-17,B of A Securities,90.0,86.0
2018-07-19,BMO Capital,80.0,78.0
2018-07-25,B of A Securities,94.0,90.0
2018-07-25,BMO Capital,90.0,80.0
2018-07-25,Cantor Fitzgerald,110.0,100.0
2018-07-25,Credit Suisse,86.0,84.0
2018-07-31,Morgan Stanley,102.0,93.0
2018-09-07,Barclays,107.0,98.0
2018-09-18,Barclays,112.0,107.0
2018-10-03,BMO Capital,107.0,90.0
2018-10-05,BMO Capital,130.0,107.0
2018-10-12,Barclays,120.0,112.0
2018-10-24,Wolfe Research,119.0,0.0
2019-05-01,BMO Capital,133.0,130.0
2019-05-28,Goldman Sachs,135.0,0.0
2019-09-10,B of A Securities,120.0,118.0
2019-10-17,UBS,133.0,134.0
2019-12-18,Morgan Stanley,150.0,116.0
2019-12-18,JP Morgan,150.0,140.0
2019-12-30,Argus Research,165.0,145.0
2020-02-06,Mizuho,148.0,0.0
2020-03-11,Goldman Sachs,168.0,0.0
2020-04-02,Morgan Stanley,148.0,150.0
2020-04-15,Cowen & Co.,160.0,145.0
2020-04-21,UBS,158.0,157.0
2020-04-24,CFRA,167.0,146.0
2020-06-17,JP Morgan,190.0,175.0
2020-06-19,B of A Securities,180.0,165.0
2020-08-14,Morgan Stanley,157.0,148.0
2020-09-03,Morgan Stanley,176.0,0.0
2020-09-29,Berenberg,144.0,0.0
2020-10-16,JP Morgan,200.0,190.0
2020-10-23,Truist Securities,180.0,0.0
2020-10-28,Morgan Stanley,170.0,176.0
2020-11-10,Bernstein,150.0,0.0
2020-11-17,Mizuho,156.0,164.0
2020-12-10,Wolfe Research,183.0,147.0
2021-01-19,Mizuho,222.0,164.0
2021-01-22,B of A Securities,225.0,195.0
2021-02-01,Mizuho,228.0,222.0
2021-02-01,Truist Securities,215.0,200.0
2021-02-04,Morgan Stanley,217.0,190.0
2021-02-12,Cowen & Co.,235.0,195.0
2021-03-15,Truist Securities,225.0,215.0
2021-04-28,Mizuho,216.0,228.0
2021-04-28,Barclays,227.0,232.0
2021-04-28,Morgan Stanley,207.0,217.0
2021-06-14,Goldman Sachs,270.0,252.0
2021-06-15,JP Morgan,260.0,240.0
2021-06-24,Cowen & Co.,250.0,235.0
2021-06-24,Cantor Fitzgerald,300.0,245.0
2021-07-02,Truist Securities,262.0,225.0
2021-07-06,Barclays,250.0,227.0
2021-08-04,Mizuho,279.0,250.0
2021-08-04,Morgan Stanley,275.0,207.0
2021-08-05,DZ Bank,288.0,0.0
2021-08-05,Morgan Stanley,275.0,207.0
2021-08-30,Cowen & Co.,300.0,250.0
2021-09-29,Citigroup,265.0,210.0
2021-10-11,Berenberg,270.0,240.0
2021-11-19,BMO Capital,311.0,0.0
2021-12-09,Wells Fargo,270.0,0.0
2021-12-17,Goldman Sachs,236.0,0.0
2021-12-20,Barclays,325.0,280.0
2021-12-20,Berenberg,305.0,270.0
2022-01-04,Wells Fargo,280.0,270.0
2022-01-21,DZ Bank,291.0,0.0
2022-01-24,Morgan Stanley,272.0,275.0
2022-02-04,Mizuho,293.0,302.0
2022-02-04,Morgan Stanley,265.0,272.0
2022-04-06,Morgan Stanley,364.0,265.0
2022-04-12,Goldman Sachs,264.0,234.0
2022-04-29,Wells Fargo,305.0,280.0
2022-04-29,Morgan Stanley,369.0,364.0
2022-04-29,BMO Capital,358.0,330.0
2022-05-02,Mizuho,356.0,315.0
2022-05-23,SVB Leerink,341.0,0.0
2022-06-01,JP Morgan,355.0,340.0
2022-07-07,Barclays,355.0,333.0
2022-07-08,Morgan Stanley,395.0,369.0
2022-09-06,BMO Capital,396.0,369.0
2022-09-07,Morgan Stanley,412.0,395.0
2022-09-22,UBS,363.0,0.0
2022-10-12,Morgan Stanley,408.0,412.0
2022-11-02,Wells Fargo,365.0,305.0
2022-11-02,Barclays,395.0,355.0
2022-11-02,SVB Leerink,384.0,341.0
2022-11-02,Morgan Stanley,441.0,408.0
2022-11-08,Goldman Sachs,313.0,281.0
2022-11-17,Morgan Stanley,436.0,441.0
2022-11-18,Credit Suisse,395.0,0.0
2022-11-22,Berenberg,375.0,345.0
2022-12-05,Cowen & Co.,430.0,390.0
2022-12-06,Credit Suisse,400.0,395.0
2022-12-06,Morgan Stanley,446.0,436.0
2022-12-07,Guggenheim,401.0,399.0
2022-12-08,Wells Fargo,375.0,365.0
2022-12-14,Morgan Stanley,440.0,446.0
2022-12-15,UBS,420.0,428.0
2022-12-16,SVB Leerink,410.0,384.0
2023-01-03,Barclays,400.0,395.0
