Date,ConsensusTarget,StockPrice,ForwardDate,StockPrice12mForward
2021-05-03,385.0,319.7718505859375,2022-05-03,210.1842498779297
2021-05-04,385.0,315.5885925292969,2022-05-04,221.46519470214844
2021-05-05,385.0,312.2776794433594,2022-05-05,206.4669189453125
2021-05-06,385.0,317.23419189453125,2022-05-06,201.99615478515625
2021-05-07,385.0,316.3023986816406,2022-05-09,194.50196838378906
2021-05-10,385.0,303.30645751953125,2022-05-10,195.92941284179688
2021-05-11,385.0,303.86163330078125,2022-05-11,187.09698486328125
2021-05-12,385.0,299.9162902832031,2022-05-12,189.5752410888672
2021-05-13,385.0,302.6026916503906,2022-05-13,196.89097595214844
2021-05-14,385.0,313.189697265625,2022-05-16,198.29859924316406
2021-05-17,385.0,312.7138366699219,2022-05-17,200.8561553955078
2021-05-18,385.0,307.2617492675781,2022-05-18,190.5665283203125
2021-05-19,385.0,310.8601379394531,2022-05-19,189.62478637695312
2021-05-20,385.0,315.8364562988281,2022-05-20,191.855224609375
2021-05-21,385.0,313.4771728515625,2022-05-23,194.52178955078125
2021-05-24,385.0,321.8040771484375,2022-05-24,179.70193481445312
2021-05-25,385.0,324.93658447265625,2022-05-25,182.22972106933594
2021-05-26,385.0,324.8077087402344,2022-05-26,189.96185302734375
2021-05-27,385.0,329.8533630371094,2022-05-27,193.43136596679688
2021-05-28,385.0,325.86834716796875,2022-05-31,191.95436096191406
2021-06-01,385.0,326.2648620605469,2022-06-01,186.9978790283203
2021-06-02,385.0,326.28472900390625,2022-06-02,197.12889099121094
2021-06-03,385.0,323.2017822265625,2022-06-03,189.11923217773438
2021-06-04,385.0,327.4742736816406,2022-06-06,192.5590362548828
2021-06-07,385.0,333.6500244140625,2022-06-07,193.94683837890625
2021-06-08,385.0,330.7752380371094,2022-06-08,194.92822265625
2021-06-09,385.0,327.3751220703125,2022-06-09,182.3982391357422
2021-06-10,385.0,329.56585693359375,2022-06-10,174.04164123535156
2021-06-11,385.0,328.3763427734375,2022-06-13,162.83009338378906
2021-06-14,385.0,333.8383483886719,2022-06-14,162.30470275878906
2021-06-15,385.0,333.8185729980469,2022-06-15,167.87579345703125
2021-06-16,385.0,328.1979064941406,2022-06-16,159.4696044921875
2021-06-17,385.0,333.5806579589844,2022-06-17,162.3146514892578
2021-06-18,385.0,326.790283203125,2022-06-21,155.68287658691406
2021-06-21,385.0,329.39739990234375,2022-06-21,155.68287658691406
2021-06-22,385.0,336.0787048339844,2022-06-22,154.49330139160156
2021-06-23,385.0,337.6251525878906,2022-06-23,157.3680419921875
2021-06-24,385.0,340.1925354003906,2022-06-24,168.6787109375
2021-06-25,385.0,338.3983459472656,2022-06-27,168.0145721435547
2021-06-28,385.0,352.5440979003906,2022-06-28,159.28125
2021-06-29,385.0,348.8267517089844,2022-06-29,162.51290893554688
2021-06-30,385.0,344.6831359863281,2022-06-30,159.8462677001953
2021-07-01,385.0,351.3050231933594,2022-07-01,158.63690185546875
2021-07-02,385.0,351.6122741699219,2022-07-05,166.7259063720703
2021-07-06,385.0,349.7090148925781,2022-07-06,168.29212951660156
2021-07-07,385.0,347.43890380859375,2022-07-07,170.69107055664062
2021-07-08,385.0,342.64105224609375,2022-07-08,169.39247131347656
2021-07-09,385.0,347.3695068359375,2022-07-11,161.4621124267578
2021-07-12,385.0,350.0857238769531,2022-07-12,161.8487091064453
2021-07-13,385.0,349.0250244140625,2022-07-13,162.0668182373047
2021-07-14,385.0,344.60382080078125,2022-07-14,156.67416381835938
2021-07-15,385.0,341.46142578125,2022-07-15,163.26626586914062
2021-07-16,385.0,338.1901550292969,2022-07-18,165.7742462158203
2021-07-19,385.0,334.0168151855469,2022-07-19,174.2498016357422
2021-07-20,385.0,338.6858215332031,2022-07-20,181.4961700439453
2021-07-21,385.0,343.2160949707031,2022-07-21,181.57546997070312
2021-07-22,385.0,348.1328430175781,2022-07-22,167.79647827148438
2021-07-23,385.0,366.5709533691406,2022-07-25,165.1992645263672
2021-07-26,385.0,369.2176513671875,2022-07-26,157.76455688476562
2021-07-27,385.0,364.608154296875,2022-07-27,168.10377502441406
2021-07-28,385.0,370.0305480957031,2022-07-28,159.32093811035156
2021-07-29,385.0,355.2007751464844,2022-07-29,157.7150115966797
2021-07-30,385.0,353.1983337402344,2022-08-01,158.5377655029297
2021-08-02,385.0,348.8862609863281,2022-08-02,158.7955322265625
2021-08-03,385.0,348.182373046875,2022-08-03,167.33056640625
