ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2021-05-03,Argus Research,385.0,319.7718505859375,2022-05-03,210.1842498779297
2022-01-19,Morgan Stanley,395.0,316.8079528808594,2023-01-19,134.9647979736328
2022-01-26,RBC Capital,400.0,292.065185546875,2023-01-26,146.0177459716797
2022-02-03,Loop Capital,230.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Credit Suisse,336.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Morgan Stanley,360.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,JP Morgan,284.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,UBS,280.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Truist Securities,350.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Keybanc,280.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Goldman Sachs,355.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Raymond James,340.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,BMO Capital,290.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Piper Sandler,301.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,JMP Securities,350.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Barclays,350.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-03,Mizuho,425.0,235.69024658203125,2023-02-03,184.90623474121094
2022-02-04,DZ Bank,225.0,235.026123046875,2023-02-06,184.4403076171875
2022-02-04,China Renaissance,280.0,235.026123046875,2023-02-06,184.4403076171875
2022-02-04,Rosenblatt,300.0,235.026123046875,2023-02-06,184.4403076171875
2022-02-08,KGI Securities,270.0,218.26329040527344,2023-02-08,181.83319091796875
2022-03-02,Morgan Stanley,325.0,206.29840087890625,2023-03-02,173.01068115234375
2022-03-08,Piper Sandler,240.0,188.63348388671875,2023-03-08,183.3598175048828
2022-03-11,Deutsche Bank,265.0,185.97682189941406,2023-03-13,179.32525634765625
2022-04-05,UBS,300.0,229.82177734375,2023-04-05,209.63906860351562
2022-04-13,RBC Capital,240.0,213.1184844970703,2023-04-13,218.4318389892578
2022-04-19,Rosenblatt,228.0,215.4182891845703,2023-04-19,213.82229614257812
2022-04-19,JMP Securities,265.0,215.4182891845703,2023-04-19,213.82229614257812
2022-04-20,Citigroup,300.0,198.67529296875,2023-04-20,211.2152099609375
2022-04-21,Credit Suisse,272.0,186.432861328125,2023-04-21,211.0367889404297
