GradeDate,Firm,currentPriceTarget,priorPriceTarget
2021-05-03,Argus Research,385.0,347.0
2022-01-19,Morgan Stanley,395.0,365.0
2022-01-26,RBC Capital,400.0,415.0
2022-02-03,Loop Capital,230.0,380.0
2022-02-03,Credit Suisse,336.0,430.0
2022-02-03,Morgan Stanley,360.0,395.0
2022-02-03,JP Morgan,284.0,0.0
2022-02-03,UBS,280.0,400.0
2022-02-03,Truist Securities,350.0,400.0
2022-02-03,Keybanc,280.0,420.0
2022-02-03,Goldman Sachs,355.0,445.0
2022-02-03,Raymond James,340.0,410.0
2022-02-03,BMO Capital,290.0,425.0
2022-02-03,Piper Sandler,301.0,385.0
2022-02-03,JMP Securities,350.0,400.0
2022-02-03,Barclays,350.0,420.0
2022-02-03,Mizuho,425.0,450.0
2022-02-04,DZ Bank,225.0,0.0
2022-02-04,China Renaissance,280.0,0.0
2022-02-04,Rosenblatt,300.0,400.0
2022-02-08,KGI Securities,270.0,0.0
2022-03-02,Morgan Stanley,325.0,360.0
2022-03-08,Piper Sandler,240.0,301.0
2022-03-11,Deutsche Bank,265.0,0.0
2022-04-05,UBS,300.0,280.0
2022-04-13,RBC Capital,240.0,245.0
2022-04-19,Rosenblatt,228.0,0.0
2022-04-19,JMP Securities,265.0,350.0
2022-04-20,Citigroup,300.0,258.0
2022-04-21,Credit Suisse,272.0,336.0
2022-04-25,Mizuho,325.0,425.0
2022-04-28,Evercore ISI Group,325.0,350.0
2022-04-28,Piper Sandler,230.0,240.0
2022-04-28,Canaccord Genuity,330.0,360.0
2022-04-28,Rosenblatt,212.0,228.0
2022-04-28,Wedbush,220.0,270.0
2022-04-28,Morgan Stanley,330.0,325.0
2022-04-28,Truist Securities,320.0,350.0
2022-04-28,BMO Capital,222.0,225.0
2022-04-28,Susquehanna,290.0,375.0
2022-04-28,Raymond James,290.0,340.0
2022-04-28,Credit Suisse,273.0,272.0
2022-05-18,Guggenheim,250.0,275.0
2022-05-24,Jefferies,310.0,330.0
2022-06-01,Morgan Stanley,300.0,330.0
2022-06-02,Piper Sandler,220.0,230.0
2022-06-10,Goldman Sachs,290.0,300.0
2022-06-16,UBS,215.0,310.0
2022-06-29,JP Morgan,225.0,275.0
2022-06-30,JMP Securities,240.0,265.0
2022-07-05,Barclays,280.0,370.0
2022-07-07,Evercore ISI Group,280.0,325.0
2022-07-13,Cowen & Co.,275.0,300.0
2022-07-14,Citigroup,270.0,300.0
2022-07-19,Credit Suisse,245.0,273.0
2022-07-19,Morgan Stanley,280.0,300.0
2022-07-21,Deutsche Bank,235.0,265.0
2022-07-25,Rosenblatt,181.0,212.0
2022-07-25,Mizuho,250.0,325.0
2022-07-26,Keybanc,190.0,280.0
2022-07-28,RBC Capital,190.0,200.0
2022-07-28,UBS,195.0,215.0
2022-07-28,Evercore ISI Group,240.0,280.0
2022-07-28,MKM Partners,240.0,295.0
2022-07-28,Stifel,230.0,260.0
2022-07-28,B of A Securities,218.0,233.0
2022-07-28,Wells Fargo,275.0,325.0
2022-07-28,Barclays,250.0,280.0
2022-07-28,Rosenblatt,156.0,181.0
2022-07-28,Truist Securities,260.0,320.0
2022-07-28,Wolfe Research,200.0,240.0
2022-07-28,Goldman Sachs,255.0,290.0
2022-07-28,Keybanc,196.0,190.0
2022-07-28,Piper Sandler,190.0,220.0
