Date,ConsensusTarget,StockPrice,ForwardDate,StockPrice12mForward
2016-01-06,60.0,47.116920471191406,2017-01-05,55.79892349243164
2016-01-07,60.0,45.478084564208984,2017-01-06,56.28257751464844
2016-01-08,60.0,45.6175537109375,2017-01-09,56.10345458984375
2016-01-11,60.0,45.59139633178711,2017-01-10,56.08552932739258
2016-01-12,60.0,46.00984191894531,2017-01-11,56.5960578918457
2016-01-13,63.0,45.016056060791016,2017-01-12,56.076576232910156
2016-01-14,63.0,46.2974967956543,2017-01-13,56.157203674316406
2016-01-15,63.0,44.44944381713867,2017-01-17,56.004920959472656
2016-01-19,63.0,44.0745964050293,2017-01-18,55.97806167602539
2016-01-20,63.0,44.27509689331055,2017-01-19,55.79892349243164
2016-01-21,63.0,44.004852294921875,2017-01-20,56.19300842285156
2016-01-22,63.0,45.582679748535156,2017-01-23,56.39004898071289
2016-01-25,63.0,45.146812438964844,2017-01-24,56.89162063598633
2016-01-26,63.0,45.478084564208984,2017-01-25,57.034915924072266
2016-01-27,63.0,44.649932861328125,2017-01-26,57.56333923339844
2016-01-28,63.0,45.38219451904297,2017-01-27,58.91578674316406
2016-01-29,62.0,48.023521423339844,2017-01-30,58.33360290527344
2016-02-01,62.0,47.6922721862793,2017-01-31,57.9036865234375
2016-02-02,62.0,46.20160675048828,2017-02-01,56.94535827636719
2016-02-03,62.0,45.46936798095703,2017-02-02,56.57813262939453
2016-02-04,62.0,45.329891204833984,2017-02-03,57.034915924072266
2016-02-05,62.0,43.72591018676758,2017-02-06,56.99909591674805
2016-02-08,62.0,43.07210159301758,2017-02-07,56.81100845336914
2016-02-09,62.0,42.95877456665039,2017-02-08,56.73040008544922
2016-02-10,62.0,43.3336067199707,2017-02-09,57.37527084350586
2016-02-11,62.0,43.316184997558594,2017-02-10,57.321533203125
2016-02-12,62.0,44.02229690551758,2017-02-13,57.966407775878906
2016-02-16,62.0,44.856380462646484,2017-02-15,58.146610260009766
2016-02-17,62.0,46.024105072021484,2017-02-16,58.137596130371094
2016-02-18,62.0,45.82216262817383,2017-02-17,58.227699279785156
2016-02-19,62.0,45.49729919433594,2017-02-21,58.110572814941406
2016-02-22,62.0,46.22603225708008,2017-02-21,58.110572814941406
2016-02-23,62.0,44.935401916503906,2017-02-22,57.993431091308594
2016-02-24,62.0,45.09343719482422,2017-02-23,58.227699279785156
2016-02-25,62.0,45.74314880371094,2017-02-24,58.227699279785156
