ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-01-06,Barclays,60.0,47.116920471191406,2017-01-05,55.79893112182617
2016-01-13,Morgan Stanley,66.0,45.016056060791016,2017-01-12,56.07658004760742
2016-01-29,Credit Suisse,60.0,48.02352523803711,2017-01-30,58.333621978759766
2016-03-04,Macquarie,53.0,45.68169021606445,2017-03-06,57.91233444213867
2016-04-01,Cowen & Co.,59.0,48.78976821899414,2017-04-03,59.06571960449219
2016-04-01,Cowen & Co.,59.0,48.78976821899414,2017-04-03,59.06571960449219
2016-04-19,Nomura,36.0,49.50970458984375,2017-04-19,58.606178283691406
2016-04-22,Goldman Sachs,54.0,45.462181091308594,2017-04-24,60.84986114501953
2016-04-22,Morgan Stanley,64.0,45.462181091308594,2017-04-24,60.84986114501953
2016-04-22,Cowen & Co.,58.0,45.462181091308594,2017-04-24,60.84986114501953
2016-04-22,RBC Capital,61.0,45.462181091308594,2017-04-24,60.84986114501953
2016-04-22,Macquarie,51.0,45.462181091308594,2017-04-24,60.84986114501953
2016-04-26,Macquarie,51.0,45.163673400878906,2017-04-26,61.12016677856445
2016-07-07,Citigroup,37.0,45.4265251159668,2017-07-07,62.94768524169922
2016-07-20,Wunderlich Securities,60.0,49.43162155151367,2017-07-20,67.26139068603516
2016-07-21,Citigroup,40.0,49.3343620300293,2017-07-21,66.87171173095703
2016-08-29,UBS,64.0,51.68802261352539,2017-08-29,66.5538101196289
2016-11-17,Goldman Sachs,68.0,54.31214141845703,2017-11-17,75.44937133789062
2016-12-22,Piper Sandler,80.0,56.918487548828125,2017-12-22,78.29700469970703
2017-04-27,Credit Suisse,80.0,61.516658782958984,2018-04-27,88.14948272705078
2017-06-22,Cleveland Research,80.0,63.67269515991211,2018-06-22,92.77244567871094
2017-07-17,Credit Suisse,84.0,66.47299194335938,2018-07-17,97.89102172851562
2017-07-21,Deutsche Bank,85.0,66.87171173095703,2018-07-23,99.75739288330078
2017-07-21,Citigroup,74.0,66.87171173095703,2018-07-23,99.75739288330078
2017-09-06,MoffettNathanson,81.0,66.87268829345703,2018-09-06,100.85545349121094
2017-10-27,Canaccord Genuity,94.0,76.35693359375,2018-10-29,96.32001495361328
2017-10-27,BMO Capital,94.0,76.35693359375,2018-10-29,96.32001495361328
2017-10-27,Citigroup,79.0,76.35693359375,2018-10-29,96.32001495361328
2017-10-27,Stifel,90.0,76.35693359375,2018-10-29,96.32001495361328
2017-10-27,Barclays,89.0,76.35693359375,2018-10-29,96.32001495361328
2017-10-30,Citigroup,79.0,76.42982482910156,2018-10-30,96.20874786376953
2017-10-31,Oppenheimer,92.0,75.78296661376953,2018-10-31,99.06539916992188
2017-11-09,UBS,105.0,76.61204528808594,2018-11-09,101.6252670288086
2018-01-24,Nomura,102.0,84.07477569580078,2019-01-24,98.92517852783203
2018-01-25,JP Morgan,87.0,84.54176330566406,2019-01-25,99.82869720458984
2018-01-25,Barclays,100.0,84.54176330566406,2019-01-25,99.82869720458984
2018-02-01,Canaccord Genuity,105.0,86.30894470214844,2019-02-01,95.73942565917969
2018-02-01,BMO Capital,107.0,86.30894470214844,2019-02-01,95.73942565917969
2018-02-01,B of A Securities,106.0,86.30894470214844,2019-02-01,95.73942565917969
2018-02-01,Keybanc,110.0,86.30894470214844,2019-02-01,95.73942565917969
2018-02-01,Stifel,105.0,86.30894470214844,2019-02-01,95.73942565917969
2018-02-02,Nomura,105.0,84.03813934326172,2019-02-04,98.49665069580078
2018-02-02,Morgan Stanley,110.0,84.03813934326172,2019-02-04,98.49665069580078
2018-03-26,Morgan Stanley,130.0,86.27278900146484,2019-03-26,110.30205535888672
2018-04-27,Stifel,107.0,88.14948272705078,2019-04-29,121.39683532714844
2018-04-27,Canaccord Genuity,110.0,88.14948272705078,2019-04-29,121.39683532714844
2018-04-27,Barclays,108.0,88.14948272705078,2019-04-29,121.39683532714844
2018-04-30,Citigroup,100.0,86.03358459472656,2019-04-30,122.17326354980469
2018-06-06,Argus Research,116.0,94.69420623779297,2019-06-06,120.01525115966797
2018-07-17,Raymond James,124.0,97.89102172851562,2019-07-17,127.94934844970703
2018-07-17,B of A Securities,130.0,97.89102172851562,2019-07-17,127.94934844970703
2018-07-17,Piper Sandler,123.0,97.89102172851562,2019-07-17,127.94934844970703
2018-07-20,Keybanc,123.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,Stifel,118.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,Citigroup,113.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,Credit Suisse,125.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,Wells Fargo,120.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,BMO Capital,125.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-20,Barclays,117.0,98.18669891357422,2019-07-22,129.97738647460938
2018-07-23,Argus Research,128.0,99.75739288330078,2019-07-23,130.7848663330078
2018-09-07,Barclays,120.0,100.36386108398438,2019-09-09,129.552978515625
2018-10-12,Macquarie,121.0,101.6252670288086,2019-10-14,131.46531677246094
2018-10-19,Wedbush,140.0,100.78124237060547,2019-10-21,130.4102020263672
