GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-01-06,Barclays,60.0,54.0
2016-01-13,Morgan Stanley,66.0,57.0
2016-01-29,Credit Suisse,60.0,52.06
2016-03-04,Macquarie,53.0,0.0
2016-04-01,Cowen & Co.,59.0,57.0
2016-04-01,Cowen & Co.,59.0,57.0
2016-04-19,Nomura,36.0,35.0
2016-04-22,Goldman Sachs,54.0,57.0
2016-04-22,Morgan Stanley,64.0,66.0
2016-04-22,Cowen & Co.,58.0,59.0
2016-04-22,RBC Capital,61.0,63.0
2016-04-22,Macquarie,51.0,53.0
2016-04-26,Macquarie,51.0,0.0
2016-07-07,Citigroup,37.0,36.0
2016-07-20,Wunderlich Securities,60.0,55.0
2016-07-21,Citigroup,40.0,37.0
2016-08-29,UBS,64.0,62.0
2016-11-17,Goldman Sachs,68.0,60.0
2016-12-22,Piper Sandler,80.0,0.0
2017-04-27,Credit Suisse,80.0,0.0
2017-06-22,Cleveland Research,80.0,0.0
2017-07-17,Credit Suisse,84.0,80.0
2017-07-21,Deutsche Bank,85.0,80.0
2017-07-21,Citigroup,74.0,72.0
2017-09-06,MoffettNathanson,81.0,0.0
2017-10-27,Canaccord Genuity,94.0,86.0
2017-10-27,BMO Capital,94.0,86.0
2017-10-27,Citigroup,79.0,74.0
2017-10-27,Stifel,90.0,85.0
2017-10-27,Barclays,89.0,82.0
2017-10-30,Citigroup,79.0,74.0
2017-10-31,Oppenheimer,92.0,80.0
2017-11-09,UBS,105.0,82.0
2018-01-24,Nomura,102.0,0.0
2018-01-25,JP Morgan,87.0,78.0
2018-01-25,Barclays,100.0,95.0
2018-02-01,Canaccord Genuity,105.0,94.0
2018-02-01,BMO Capital,107.0,100.0
2018-02-01,B of A Securities,106.0,104.0
2018-02-01,Keybanc,110.0,106.0
2018-02-01,Stifel,105.0,92.0
2018-02-02,Nomura,105.0,102.0
2018-02-02,Morgan Stanley,110.0,100.0
2018-03-26,Morgan Stanley,130.0,110.0
2018-04-27,Stifel,107.0,105.0
2018-04-27,Canaccord Genuity,110.0,105.0
2018-04-27,Barclays,108.0,100.0
2018-04-30,Citigroup,100.0,97.0
2018-06-06,Argus Research,116.0,107.0
2018-07-17,Raymond James,124.0,110.0
2018-07-17,B of A Securities,130.0,123.0
2018-07-17,Piper Sandler,123.0,115.0
2018-07-20,Keybanc,123.0,110.0
2018-07-20,Stifel,118.0,107.0
2018-07-20,Citigroup,113.0,100.0
2018-07-20,Credit Suisse,125.0,115.0
2018-07-20,Wells Fargo,120.0,115.0
