ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-01-04,Deutsche Bank,17.0,13.973714828491211,2017-01-03,21.989343643188477
2016-02-01,Goldman Sachs,11.0,10.687503814697266,2017-01-31,23.51055908203125
2016-02-16,Macquarie,14.0,10.541231155395508,2017-02-15,22.447662353515625
2016-02-16,Nomura,12.0,10.541231155395508,2017-02-15,22.447662353515625
2016-03-07,Nomura,8.0,11.292089462280273,2017-03-07,25.002519607543945
2016-03-18,Susquehanna,10.0,10.863028526306152,2017-03-20,25.55834197998047
2016-03-21,UBS,15.0,11.243331909179688,2017-03-21,24.885501861572266
2016-03-21,Deutsche Bank,16.0,11.243331909179688,2017-03-21,24.885501861572266
2016-03-28,Barclays,15.0,10.121925354003906,2017-03-28,27.976686477661133
2016-03-31,Barclays,14.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,Pacific Crest,13.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,UBS,14.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,JP Morgan,15.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,Goldman Sachs,10.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,Evercore ISI Group,16.0,10.209686279296875,2017-03-31,28.18146514892578
2016-03-31,Bernstein,10.0,10.209686279296875,2017-03-31,28.18146514892578
2016-04-15,Brean Capital,14.0,10.424217224121094,2017-04-17,26.455474853515625
2016-05-18,Bernstein,11.0,9.800127983093262,2017-05-18,26.796770095825195
2016-06-06,Goldman Sachs,13.0,12.452503204345703,2017-06-06,30.785083770751953
2016-06-23,Nomura,18.0,13.700677871704102,2017-06-23,30.941097259521484
2016-06-23,Susquehanna,18.0,13.700677871704102,2017-06-23,30.941097259521484
2016-08-05,UBS,17.0,14.1589937210083,2017-08-07,27.879173278808594
2016-08-16,Brean Capital,18.0,15.10487174987793,2017-08-16,29.926958084106445
2016-08-25,Nomura,20.0,15.797221183776855,2017-08-25,29.536909103393555
2016-08-30,Morgan Stanley,20.0,16.323795318603516,2017-08-30,30.824085235595703
2016-09-12,Goldman Sachs,18.0,16.723604202270508,2017-09-12,33.43745803833008
2016-09-21,Nomura,23.0,17.220922470092773,2017-09-21,35.01717758178711
2016-10-03,Barclays,23.0,17.289182662963867,2017-10-03,39.36628723144531
2016-10-05,Deutsche Bank,20.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Brean Capital,23.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Baird,22.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Barclays,23.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Credit Suisse,20.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Goldman Sachs,16.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-05,Morgan Stanley,20.0,17.259933471679688,2017-10-05,38.391151428222656
2016-10-06,Baird,22.0,17.289182662963867,2017-10-06,38.683692932128906
2016-11-23,Deutsche Bank,24.0,19.414981842041016,2017-11-24,48.44481658935547
2016-11-30,Nomura,25.0,19.044424057006836,2017-11-30,41.3360595703125
2016-12-07,Citigroup,30.0,19.93180274963379,2017-12-07,42.12592697143555
2016-12-13,Loop Capital,25.0,19.629512786865234,2017-12-13,41.004512786865234
2016-12-22,Summit Insights Group,26.0,22.613428115844727,2017-12-22,43.0230598449707
2017-03-01,Goldman Sachs,29.0,23.939617156982422,2018-03-01,46.436031341552734
2017-03-02,Needham,42.0,24.085891723632812,2018-03-02,47.88898468017578
2017-03-24,Deutsche Bank,35.0,27.72315216064453,2018-03-26,54.178627014160156
2017-06-30,Susquehanna,38.0,29.117595672607422,2018-07-02,53.125465393066406
2017-06-30,Morgan Stanley,36.0,29.117595672607422,2018-07-02,53.125465393066406
2017-08-18,Stifel,62.0,29.624662399291992,2018-08-20,46.87484359741211
2017-09-13,Goldman Sachs,40.0,33.7299919128418,2018-09-13,42.53548812866211
2017-09-21,Loop Capital,46.0,35.01717758178711,2018-09-21,43.62763595581055
2017-09-27,Credit Suisse,50.0,36.16783905029297,2018-09-27,43.87141799926758
2017-09-27,Morgan Stanley,39.0,36.16783905029297,2018-09-27,43.87141799926758
2017-09-27,Wells Fargo,45.0,36.16783905029297,2018-09-27,43.87141799926758
2017-09-29,Nomura,45.0,38.35214614868164,2018-10-01,44.02744674682617
2017-10-02,BMO Capital,43.0,39.01523208618164,2018-10-02,44.62228012084961
2017-10-12,Barclays,60.0,39.57106018066406,2018-10-12,41.4140739440918
2017-10-13,Loop Capital,47.0,39.395545959472656,2018-10-15,41.28731155395508
2017-10-16,Nomura,50.0,40.45845031738281,2018-10-16,42.135677337646484
2017-10-19,UBS,53.0,40.282920837402344,2018-10-19,39.44429397583008
