GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-01-04,Deutsche Bank,17.0,20.0
2016-02-01,Goldman Sachs,11.0,13.0
2016-02-16,Macquarie,14.0,20.0
2016-02-16,Nomura,12.0,15.0
2016-03-07,Nomura,8.0,0.0
2016-03-18,Susquehanna,10.0,15.0
2016-03-21,UBS,15.0,16.5
2016-03-21,Deutsche Bank,16.0,17.0
2016-03-28,Barclays,15.0,18.0
2016-03-31,Barclays,14.0,15.0
2016-03-31,Pacific Crest,13.0,18.0
2016-03-31,UBS,14.0,15.0
2016-03-31,JP Morgan,15.0,22.5
2016-03-31,Goldman Sachs,10.0,11.0
2016-03-31,Evercore ISI Group,16.0,21.0
2016-03-31,Bernstein,10.0,14.0
2016-04-15,Brean Capital,14.0,0.0
2016-05-18,Bernstein,11.0,10.0
2016-06-06,Goldman Sachs,13.0,10.0
2016-06-23,Nomura,18.0,8.0
2016-06-23,Susquehanna,18.0,10.0
2016-08-05,UBS,17.0,14.0
2016-08-16,Brean Capital,18.0,14.0
2016-08-25,Nomura,20.0,16.0
2016-08-30,Morgan Stanley,20.0,18.0
2016-09-12,Goldman Sachs,18.0,12.0
2016-09-21,Nomura,23.0,20.0
2016-10-03,Barclays,23.0,19.0
2016-10-05,Deutsche Bank,20.0,0.0
2016-10-05,Brean Capital,23.0,18.0
2016-10-05,Baird,22.0,18.0
2016-10-05,Barclays,23.0,0.0
2016-10-05,Credit Suisse,20.0,0.0
2016-10-05,Goldman Sachs,16.0,18.0
2016-10-05,Morgan Stanley,20.0,0.0
2016-10-06,Baird,22.0,18.0
2016-11-23,Deutsche Bank,24.0,20.0
2016-11-30,Nomura,25.0,23.0
2016-12-07,Citigroup,30.0,0.0
2016-12-13,Loop Capital,25.0,0.0
2016-12-22,Summit Insights Group,26.0,0.0
2017-03-01,Goldman Sachs,29.0,26.0
2017-03-02,Needham,42.0,33.0
2017-03-24,Deutsche Bank,35.0,30.0
2017-06-30,Susquehanna,38.0,35.0
2017-06-30,Morgan Stanley,36.0,34.0
2017-08-18,Stifel,62.0,60.0
2017-09-13,Goldman Sachs,40.0,33.0
2017-09-21,Loop Capital,46.0,40.0
2017-09-27,Credit Suisse,50.0,40.0
2017-09-27,Morgan Stanley,39.0,36.0
2017-09-27,Wells Fargo,45.0,40.0
2017-09-29,Nomura,45.0,40.0
2017-10-02,BMO Capital,43.0,0.0
2017-10-12,Barclays,60.0,40.0
2017-10-13,Loop Capital,47.0,48.0
2017-10-16,Nomura,50.0,45.0
2017-10-19,UBS,53.0,39.5
2018-02-06,Stifel,85.0,75.0
2018-02-06,Morgan Stanley,54.0,55.0
2018-03-08,Keybanc,65.0,53.0
2018-03-19,Deutsche Bank,65.0,60.0
2018-03-20,Credit Suisse,70.0,60.0
2018-03-21,BMO Capital,63.0,43.0
2018-03-23,Deutsche Bank,68.0,65.0
2018-03-23,JP Morgan,80.0,60.0
2018-03-23,Morgan Stanley,65.0,54.0
2018-03-23,Stifel,95.0,85.0
2018-03-23,Keybanc,72.0,65.0
2018-03-23,Wells Fargo,70.0,54.0
2018-03-26,Argus Research,70.0,55.0
2018-04-05,UBS,35.0,0.0
2018-05-16,RBC Capital,80.0,0.0
2018-05-22,Credit Suisse,80.0,70.0
2018-05-22,JP Morgan,82.0,80.0
2018-05-22,Deutsche Bank,72.0,68.0
2018-05-22,Stifel,106.0,101.0
2018-05-22,Keybanc,80.0,72.0
2018-06-21,Stifel,108.0,106.0
2018-06-21,Credit Suisse,90.0,80.0
2018-06-21,JP Morgan,84.0,82.0
2018-06-22,Benchmark,80.0,0.0
2018-09-12,Goldman Sachs,50.0,68.0
2018-09-14,Macquarie,70.0,80.0
2018-09-17,Deutsche Bank,60.0,80.0
2018-09-17,BMO Capital,45.0,63.0
2018-09-21,Morgan Stanley,48.0,65.0
2018-09-21,Stifel,103.0,108.0
2018-09-21,Nomura,65.0,100.0
2018-10-23,Barclays,50.0,60.0
2018-11-27,UBS,41.0,52.0
2018-11-29,Citigroup,40.0,50.0
2018-12-10,Keybanc,61.0,73.0
2018-12-19,Wells Fargo,50.0,63.0
2018-12-19,Morgan Stanley,33.0,48.0
2018-12-19,Keybanc,45.0,61.0
2018-12-19,Barclays,46.0,50.0
2018-12-19,MKM Partners,44.0,50.0
2018-12-19,RBC Capital,40.0,59.0
2018-12-19,Deutsche Bank,48.0,60.0
2019-01-07,BMO Capital,50.0,32.0
2019-03-15,Mizuho,44.0,45.0
2019-03-21,Keybanc,49.0,45.0
2019-03-21,Morgan Stanley,32.0,33.0
2019-05-20,Deutsche Bank,45.0,48.0
2019-06-03,Keybanc,48.0,49.0
2019-06-03,Nomura,32.0,45.0
2019-06-06,Barclays,40.0,45.0
2019-06-26,Morgan Stanley,31.0,32.0
2019-06-26,Keybanc,45.0,48.0
2019-06-27,Wedbush,30.0,0.0
2019-07-18,Barclays,50.0,40.0
2019-07-22,Goldman Sachs,56.0,40.0
2019-09-04,Mizuho,50.0,44.0
2019-09-10,Keybanc,58.0,45.0
2019-09-11,Longbow Research,66.0,0.0
