Date,ConsensusTarget,StockPrice,ForwardDate,StockPrice12mForward
2016-08-10,1.0,1.4343795776367188,2017-08-10,4.061507701873779
2016-08-11,1.0,1.4635525941848755,2017-08-11,3.8450450897216797
2016-08-12,1.4958333333333333,1.5454330444335938,2017-08-14,4.151740550994873
2016-08-15,1.4958333333333333,1.5439621210098267,2017-08-15,4.116734027862549
2016-08-16,1.4958333333333333,1.53464674949646,2017-08-16,4.071616172790527
2016-08-17,1.4958333333333333,1.499099612236023,2017-08-17,3.9808883666992188
2016-08-18,1.4958333333333333,1.5223890542984009,2017-08-18,3.9816291332244873
2016-08-19,1.4958333333333333,1.5263108015060425,2017-08-21,3.923691749572754
2016-08-22,1.4958333333333333,1.5326851606369019,2017-08-22,4.011042594909668
2016-08-23,1.4958333333333333,1.5450884103775024,2017-08-23,4.091241836547852
2016-08-24,1.4958333333333333,1.5212647914886475,2017-08-24,4.0761871337890625
2016-08-25,1.4958333333333333,1.5111953020095825,2017-08-25,4.042134761810303
2016-08-26,1.4958333333333333,1.5234754085540771,2017-08-28,4.070759296417236
2016-08-29,1.4958333333333333,1.5224930047988892,2017-08-29,4.064096450805664
2016-08-30,1.4958333333333333,1.5136510133743286,2017-08-30,4.088278293609619
2016-08-31,1.4958333333333333,1.5065282583236694,2017-08-31,4.18105936050415
2016-09-01,1.4958333333333333,1.5509828329086304,2017-09-01,4.206230163574219
2016-09-02,1.4958333333333333,1.5357552766799927,2017-09-05,4.093954563140869
2016-09-06,1.4958333333333333,1.550246000289917,2017-09-06,4.091486930847168
2016-09-07,1.4958333333333333,1.5274046659469604,2017-09-07,4.11048698425293
2016-09-08,1.4958333333333333,1.538456678390503,2017-09-08,4.0391740798950195
2016-09-09,1.4958333333333333,1.4618290662765503,2017-09-11,4.170201778411865
2016-09-12,1.4958333333333333,1.4920380115509033,2017-09-12,4.185255527496338
2016-09-13,1.4958333333333333,1.4704248905181885,2017-09-13,4.204008102416992
2016-09-14,1.4958333333333333,1.4834421873092651,2017-09-14,4.18007230758667
2016-09-15,1.4958333333333333,1.5396852493286133,2017-09-15,4.4443511962890625
2016-09-16,1.4958333333333333,1.5433688163757324,2017-09-18,4.6279377937316895
2016-09-19,1.4958333333333333,1.5637544393539429,2017-09-19,4.623002052307129
2016-09-20,1.5125,1.549508810043335,2017-09-20,4.5857415199279785
2016-09-21,1.5125,1.5929808616638184,2017-09-21,4.460389614105225
2016-09-22,1.5125,1.5969103574752808,2017-09-22,4.416959762573242
2016-09-23,1.5125,1.5951913595199585,2017-09-25,4.219555377960205
2016-09-26,1.5125,1.5802093744277954,2017-09-26,4.243241786956787
2016-09-27,1.5125,1.6342419385910034,2017-09-27,4.336270809173584
2016-09-28,1.5125,1.6401368379592896,2017-09-28,4.335036277770996
2016-09-29,1.5125,1.65536367893219,2017-09-29,4.411284446716309
2016-09-30,1.5125,1.6828718185424805,2017-10-02,4.416959762573242
2016-10-03,1.5125,1.6811518669128418,2017-10-03,4.426089286804199
2016-10-04,1.5125,1.6774684190750122,2017-10-04,4.4631028175354
2016-10-05,1.5125,1.6757488250732422,2017-10-05,4.460636615753174
2016-10-06,1.5125,1.6538904905319214,2017-10-06,4.4737138748168945
2016-10-07,1.5125,1.6418557167053223,2017-10-09,4.574638366699219
2016-10-10,1.5125,1.647996187210083,2017-10-10,4.661991119384766
2016-10-11,1.5125,1.6241724491119385,2017-10-11,4.7115864753723145
2016-10-12,1.5125,1.6315406560897827,2017-10-12,4.713808536529541
2016-10-13,1.5125,1.6050152778625488,2017-10-13,4.801654815673828
2016-10-14,1.5125,1.6207342147827148,2017-10-16,4.884070873260498
2016-10-17,1.5125,1.611401081085205,2017-10-17,4.879631042480469
2016-10-18,1.5125,1.6359612941741943,2017-10-18,4.8754353523254395
2016-10-19,1.5125,1.6325228214263916,2017-10-19,4.880865097045898
2016-10-20,1.5125,1.6634687185287476,2017-10-20,4.858656883239746
2016-10-21,1.5125,1.6588025093078613,2017-10-23,4.851746082305908
2016-10-24,1.5125,1.7366585731506348,2017-10-24,4.902578353881836
2016-10-25,1.5125,1.7651482820510864,2017-10-25,4.778706073760986
2016-10-26,1.5125,1.7722712755203247,2017-10-26,4.828798294067383
2016-10-27,1.5125,1.7359216213226318,2017-10-27,4.981047630310059
2016-10-28,1.5125,1.7329750061035156,2017-10-30,5.029905796051025
2016-10-31,1.5125,1.7477107048034668,2017-10-31,5.10319185256958
2016-11-01,1.5125,1.6958885192871094,2017-11-01,5.11281681060791
2016-11-02,1.5125,1.6887657642364502,2017-11-02,5.08172607421875
2016-11-03,1.5125,1.6691176891326904,2017-11-03,5.149582386016846
2016-11-04,1.5125,1.6595391035079956,2017-11-06,5.1727776527404785
