ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2016-08-10,Barclays,1.0,1.4343795776367188,2017-08-10,4.061507701873779
2016-08-12,UBS,1.775,1.5454330444335938,2017-08-14,4.151740550994873
2016-08-12,Jefferies,1.825,1.5454330444335938,2017-08-14,4.151740550994873
2016-08-12,Deutsche Bank,1.275,1.5454330444335938,2017-08-14,4.151740550994873
2016-08-12,Barclays,1.35,1.5454330444335938,2017-08-14,4.151740550994873
2016-08-12,Goldman Sachs,1.75,1.5454330444335938,2017-08-14,4.151740550994873
2016-09-20,Susquehanna,1.65,1.549508810043335,2017-09-20,4.5857415199279785
2016-09-20,SunTrust Robinson Humphrey,1.475,1.549508810043335,2017-09-20,4.5857415199279785
2016-11-11,Barclays,1.8,2.160569906234741,2017-11-13,5.2468061447143555
2016-11-22,MKM Partners,2.65,2.3000714778900146,2017-11-22,5.307243824005127
2016-12-13,Loop Capital,2.725,2.24251389503479,2017-12-13,4.597324848175049
2016-12-14,Evercore ISI Group,3.0,2.372387170791626,2017-12-14,4.604485988616943
2016-12-20,Mizuho,2.875,2.586874008178711,2017-12-20,4.859562397003174
2017-02-22,Nomura,2.25,2.7278096675872803,2018-02-22,5.983101844787598
2017-02-23,BMO Capital,2.125,2.4748787879943848,2018-02-23,6.076498031616211
2017-05-19,Bernstein,4.125,3.35295033454895,2018-05-21,6.034740924835205
2017-07-10,Jefferies,4.5,3.7893269062042236,2018-07-10,6.261232852935791
2017-08-11,Barclays,3.5,3.8450450897216797,2018-08-13,6.332189083099365
2017-08-11,Nomura,2.75,3.8450450897216797,2018-08-13,6.332189083099365
2017-08-11,Citigroup,4.625,3.8450450897216797,2018-08-13,6.332189083099365
2017-08-14,Canaccord Genuity,4.75,4.151740550994873,2018-08-14,6.463469505310059
2017-09-18,B of A Securities,5.25,4.6279377937316895,2018-09-18,6.7042341232299805
2017-10-04,Barclays,5.0,4.4631028175354,2018-10-04,6.908812046051025
2017-11-08,Deutsche Bank,4.75,5.16118049621582,2018-11-08,5.095583438873291
2017-11-10,Morgan Stanley,5.55,5.333416938781738,2018-11-12,4.68865966796875
2017-11-10,Loop Capital,5.875,5.333416938781738,2018-11-12,4.68865966796875
2017-11-10,BMO Capital,3.375,5.333416938781738,2018-11-12,4.68865966796875
2017-11-10,B of A Securities,6.275,5.333416938781738,2018-11-12,4.68865966796875
2017-11-10,Barclays,5.625,5.333416938781738,2018-11-12,4.68865966796875
2017-11-17,Canaccord Genuity,6.25,5.21546745300293,2018-11-19,3.5794517993927
2018-02-09,B. Riley Securities,7.25,5.730727672576904,2019-02-11,3.6263654232025146
2018-02-09,BMO Capital,5.625,5.730727672576904,2019-02-11,3.6263654232025146
2018-02-09,Deutsche Bank,5.75,5.730727672576904,2019-02-11,3.6263654232025146
2018-02-09,Morgan Stanley,6.45,5.730727672576904,2019-02-11,3.6263654232025146
2018-02-09,Citigroup,6.75,5.730727672576904,2019-02-11,3.6263654232025146
2018-04-05,UBS,6.25,5.469912528991699,2019-04-05,4.733138561248779
2018-04-09,Morgan Stanley,6.45,5.322402477264404,2019-04-09,4.69124698638916
2018-05-08,Deutsche Bank,6.0,6.186944007873535,2019-05-08,4.311010837554932
2018-05-11,Barclays,7.5,6.2889885902404785,2019-05-13,3.9275500774383545
2018-05-11,B. Riley Securities,7.5,6.2889885902404785,2019-05-13,3.9275500774383545
2018-05-11,UBS,6.65,6.2889885902404785,2019-05-13,3.9275500774383545
2018-05-17,Cowen & Co.,8.125,6.120479106903076,2019-05-17,3.8799588680267334
2018-06-26,Benchmark,7.0,5.982845306396484,2019-06-26,3.952134132385254
2018-06-26,FBN Securities,7.5,5.982845306396484,2019-06-26,3.952134132385254
2018-08-15,Wells Fargo,7.875,6.405371189117432,2019-08-15,3.6918182373046875
2018-08-17,Stifel,6.25,6.0528130531311035,2019-08-19,4.238010883331299
2018-10-30,JP Morgan,6.375,5.021620273590088,2019-10-30,5.042555809020996
2018-11-08,Morgan Stanley,6.5,5.095583438873291,2019-11-08,5.16129207611084
2018-11-12,Citigroup,6.75,4.68865966796875,2019-11-12,5.206748962402344
2018-11-13,B. Riley Securities,6.0,4.930340766906738,2019-11-13,5.1809163093566895
2018-11-16,B. Riley Securities,4.75,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Goldman Sachs,5.0,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Deutsche Bank,4.75,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Mizuho,6.125,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Barclays,6.25,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Wells Fargo,5.875,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Nomura,5.0,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,BMO Capital,4.375,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Raymond James,6.25,4.067512035369873,2019-11-18,5.273073673248291
2018-11-16,Jefferies,6.15,4.067512035369873,2019-11-18,5.273073673248291
2018-11-26,Credit Suisse,5.625,3.7860052585601807,2019-11-26,5.390318393707275
2018-12-12,RBC Capital,5.75,3.6870315074920654,2019-12-12,5.5700459480285645
