GradeDate,Firm,currentPriceTarget,priorPriceTarget
2016-08-10,Barclays,40.0,30.0
2016-08-12,UBS,71.0,53.0
2016-08-12,Jefferies,73.0,69.0
2016-08-12,Deutsche Bank,51.0,32.0
2016-08-12,Barclays,54.0,40.0
2016-08-12,Goldman Sachs,70.0,63.0
2016-09-20,Susquehanna,66.0,0.0
2016-09-20,SunTrust Robinson Humphrey,59.0,0.0
2016-11-11,Barclays,72.0,54.0
2016-11-22,MKM Partners,106.0,87.0
2016-12-13,Loop Capital,109.0,0.0
2016-12-14,Evercore ISI Group,120.0,0.0
2016-12-20,Mizuho,115.0,80.0
2017-02-22,Nomura,90.0,100.0
2017-02-23,BMO Capital,85.0,100.0
2017-05-19,Bernstein,165.0,0.0
2017-07-10,Jefferies,180.0,140.0
2017-08-11,Barclays,140.0,105.0
2017-08-11,Nomura,110.0,90.0
2017-08-11,Citigroup,185.0,180.0
2017-08-14,Canaccord Genuity,190.0,180.0
2017-09-18,B of A Securities,210.0,185.0
2017-10-04,Barclays,200.0,140.0
2017-11-08,Deutsche Bank,190.0,145.0
2017-11-10,Morgan Stanley,222.0,210.0
2017-11-10,Loop Capital,235.0,205.0
2017-11-10,BMO Capital,135.0,90.0
2017-11-10,B of A Securities,251.0,210.0
2017-11-10,Barclays,225.0,200.0
2017-11-17,Canaccord Genuity,250.0,225.0
2018-02-09,B. Riley Securities,290.0,270.0
2018-02-09,BMO Capital,225.0,200.0
2018-02-09,Deutsche Bank,230.0,205.0
2018-02-09,Morgan Stanley,258.0,222.0
2018-02-09,Citigroup,270.0,240.0
2018-04-05,UBS,250.0,0.0
2018-04-09,Morgan Stanley,258.0,258.0
2018-05-08,Deutsche Bank,240.0,230.0
2018-05-11,Barclays,300.0,280.0
2018-05-11,B. Riley Securities,300.0,290.0
2018-05-11,UBS,266.0,250.0
2018-05-17,Cowen & Co.,325.0,0.0
2018-06-26,Benchmark,280.0,0.0
2018-06-26,FBN Securities,300.0,0.0
2018-08-15,Wells Fargo,315.0,140.0
2018-08-17,Stifel,250.0,243.0
2018-10-30,JP Morgan,255.0,265.0
2018-11-08,Morgan Stanley,260.0,273.0
2018-11-12,Citigroup,270.0,300.0
2018-11-13,B. Riley Securities,240.0,250.0
2018-11-16,B. Riley Securities,190.0,240.0
2018-11-16,Goldman Sachs,200.0,283.0
2018-11-16,Deutsche Bank,190.0,260.0
2018-11-16,Mizuho,245.0,295.0
2018-11-16,Barclays,250.0,300.0
2018-11-16,Wells Fargo,235.0,315.0
2018-11-16,Nomura,200.0,225.0
2018-11-16,BMO Capital,175.0,225.0
2018-11-16,Raymond James,250.0,300.0
2018-11-16,Jefferies,246.0,320.0
2018-11-26,Credit Suisse,225.0,0.0
2018-12-12,RBC Capital,230.0,260.0
2018-12-27,RBC Capital,200.0,230.0
2019-01-29,Morgan Stanley,148.0,220.0
2019-01-29,UBS,180.0,190.0
2019-02-11,Bernstein,175.0,250.0
2019-02-22,Atlantic Equities,195.0,0.0
2019-03-26,Piper Sandler,200.0,0.0
2019-04-03,Nomura,147.0,0.0
2019-04-12,DZ Bank,170.0,0.0
2019-05-13,Morgan Stanley,170.0,148.0
2019-05-14,Stifel,145.0,150.0
2019-05-17,UBS,195.0,210.0
2019-06-06,Barclays,180.0,220.0
2019-06-27,Wedbush,184.0,0.0
2019-07-11,Cascend,190.0,0.0
2019-08-16,Morgan Stanley,180.0,170.0
2019-09-23,SunTrust Robinson Humphrey,216.0,210.0
2019-10-07,RBC Capital,217.0,190.0
2019-10-07,Evercore ISI Group,225.0,185.0
2019-10-15,B of A Securities,250.0,225.0
2019-10-15,Cascend,220.0,190.0
2019-10-22,Wells Fargo,220.0,200.0
2019-11-11,UBS,240.0,195.0
