ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2019-04-25,Wedbush,275.0,16.5086669921875,2020-04-24,48.34333419799805
2019-04-25,Canaccord Genuity,394.0,16.5086669921875,2020-04-24,48.34333419799805
2019-04-25,JMP Securities,369.0,16.5086669921875,2020-04-24,48.34333419799805
2019-05-06,RBC Capital,190.0,17.022666931152344,2020-05-05,51.2140007019043
2019-05-21,Baird,340.0,13.67199993133545,2020-05-20,54.37066650390625
2019-05-22,Citigroup,38.2,12.84866714477539,2020-05-21,55.17333221435547
2019-05-30,Barclays,150.0,12.54800033569336,2020-05-29,55.66666793823242
2019-06-10,Roth Capital,238.0,14.192000389099121,2020-06-09,62.711334228515625
2019-06-20,Goldman Sachs,158.0,14.641332626342773,2020-06-19,66.72666931152344
2019-06-27,Credit Suisse,189.0,14.855999946594238,2020-06-26,63.982666015625
2019-06-28,UBS,160.0,14.897333145141602,2020-06-29,67.29000091552734
2019-07-01,JMP Securities,347.0,15.14466667175293,2020-06-30,71.98733520507812
2019-07-25,Nomura,270.0,15.254667282104492,2020-07-24,94.46666717529297
2019-07-25,Canaccord Genuity,350.0,15.254667282104492,2020-07-24,94.46666717529297
2019-07-25,Barclays,150.0,15.254667282104492,2020-07-24,94.46666717529297
2019-09-26,China Renaissance,324.0,16.17066764831543,2020-09-25,135.77999877929688
2019-10-24,Canaccord Genuity,375.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,RBC Capital,220.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,B of A Securities,235.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,Credit Suisse,200.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,JP Morgan,220.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,Wedbush,270.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-24,Nomura,60.0,19.978666305541992,2020-10-23,140.2100067138672
2019-10-25,Barclays,40.0,21.875333786010742,2020-10-26,140.0933380126953
2019-10-31,Morgan Stanley,250.0,20.994667053222656,2020-10-30,129.34666442871094
2019-11-11,Jefferies,400.0,23.006000518798828,2020-11-10,136.7866668701172
2019-11-18,Deutsche Bank,290.0,23.332666397094727,2020-11-17,147.20333862304688
2019-11-26,China Renaissance,69.2,21.92799949645996,2020-11-25,191.3333282470703
2019-12-03,Piper Sandler,84.6,22.413333892822266,2020-12-02,189.60667419433594
2019-12-04,Citigroup,222.0,22.20199966430664,2020-12-03,197.7933349609375
2019-12-06,Morgan Stanley,250.0,22.392667770385742,2020-12-07,213.9199981689453
2019-12-10,Exane BNP Paribas,400.0,23.256000518798828,2020-12-09,201.4933319091797
2019-12-26,Wedbush,370.0,28.729333877563477,2020-12-28,221.22999572753906
2019-12-30,Cowen & Co.,210.0,27.64666748046875,2020-12-29,221.99667358398438
2020-01-02,Canaccord Genuity,515.0,28.68400001525879,2021-01-04,243.2566680908203
2020-01-06,RBC Capital,315.0,30.1026668548584,2021-01-05,245.0366668701172
2020-01-07,Argus Research,556.0,31.270666122436523,2021-01-06,251.9933319091797
2020-01-09,Baird,525.0,32.089332580566406,2021-01-08,293.3399963378906
2020-01-09,CFRA,80.0,32.089332580566406,2021-01-08,293.3399963378906
2020-01-10,Piper Sandler,553.0,31.876667022705078,2021-01-11,270.39666748046875
2020-01-13,Oppenheimer,612.0,34.990665435791016,2021-01-12,283.14666748046875
2020-01-14,Jefferies,600.0,35.861331939697266,2021-01-13,284.8033447265625
2020-01-16,Morgan Stanley,360.0,34.232666015625,2021-01-15,275.38665771484375
2020-01-21,New Street Research,800.0,36.47999954223633,2021-01-20,283.48333740234375
2020-01-22,Wedbush,550.0,37.97066879272461,2021-01-21,281.663330078125
2020-01-23,Exane BNP Paribas,111.0,38.14666748046875,2021-01-22,282.21331787109375
2020-01-29,B of A Securities,350.0,38.732666015625,2021-01-28,278.4766540527344
2020-01-30,Piper Sandler,729.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Deutsche Bank,102.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Baird,130.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,RBC Capital,530.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Roth Capital,350.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Credit Suisse,415.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Canaccord Genuity,750.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,B of A Securities,370.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,Oppenheimer,684.0,42.72066879272461,2021-01-29,264.510009765625
2020-01-30,JP Morgan,260.0,42.72066879272461,2021-01-29,264.510009765625
2020-02-03,Argus Research,808.0,52.0,2021-02-02,290.92999267578125
2020-02-13,Baird,650.0,53.599998474121094,2021-02-12,272.0400085449219
2020-02-18,Bernstein,730.0,57.22666549682617,2021-02-17,266.04998779296875
2020-02-18,Morgan Stanley,500.0,57.22666549682617,2021-02-17,266.04998779296875
2020-02-18,Cowen & Co.,290.0,57.22666549682617,2021-02-17,266.04998779296875
2020-02-18,Evercore ISI Group,550.0,57.22666549682617,2021-02-17,266.04998779296875
2020-02-25,Jefferies,800.0,53.32733154296875,2021-02-24,247.33999633789062
2020-03-12,Morgan Stanley,480.0,37.369998931884766,2021-03-12,231.2433319091797
2020-03-18,B of A Securities,500.0,24.08133316040039,2021-03-18,217.72000122070312
2020-03-19,Morgan Stanley,460.0,28.50933265686035,2021-03-19,218.2899932861328
2020-03-19,Wedbush,425.0,28.50933265686035,2021-03-19,218.2899932861328
2020-03-19,Canaccord Genuity,400.0,28.50933265686035,2021-03-19,218.2899932861328
