GradeDate,Firm,currentPriceTarget,priorPriceTarget
2019-04-25,Wedbush,18.333333333333332,24.333333333333332
2019-04-25,Canaccord Genuity,26.266666666666666,26.066666666666666
2019-04-25,JMP Securities,24.6,24.933333333333334
2019-05-06,RBC Capital,12.666666666666666,13.333333333333334
2019-05-21,Baird,22.666666666666668,26.666666666666668
2019-05-22,Citigroup,2.546666666666667,3.1733333333333333
2019-05-30,Barclays,10.0,12.8
2019-06-10,Roth Capital,15.866666666666667,0.0
2019-06-20,Goldman Sachs,10.533333333333333,13.333333333333334
2019-06-27,Credit Suisse,12.6,0.0
2019-06-28,UBS,10.666666666666666,13.333333333333334
2019-07-01,JMP Securities,23.133333333333333,0.0
2019-07-25,Nomura,18.0,20.0
2019-07-25,Canaccord Genuity,23.333333333333332,26.266666666666666
2019-07-25,Barclays,10.0,0.0
2019-09-26,China Renaissance,21.6,0.0
2019-10-24,Canaccord Genuity,25.0,23.333333333333332
2019-10-24,RBC Capital,14.666666666666666,12.666666666666666
2019-10-24,B of A Securities,15.666666666666666,15.0
2019-10-24,Credit Suisse,13.333333333333334,12.6
2019-10-24,JP Morgan,14.666666666666666,13.333333333333334
2019-10-24,Wedbush,18.0,14.666666666666666
2019-10-24,Nomura,4.0,3.6
2019-10-25,Barclays,2.6666666666666665,2.0
2019-10-31,Morgan Stanley,16.666666666666668,15.333333333333334
2019-11-11,Jefferies,26.666666666666668,20.0
2019-11-18,Deutsche Bank,19.333333333333332,17.333333333333332
2019-11-26,China Renaissance,4.613333333333333,0.0
2019-12-03,Piper Sandler,5.64,4.96
2019-12-04,Citigroup,14.8,12.733333333333333
2019-12-06,Morgan Stanley,16.666666666666668,0.0
2019-12-10,Exane BNP Paribas,26.666666666666668,20.0
2019-12-26,Wedbush,24.666666666666668,18.0
2019-12-30,Cowen & Co.,14.0,12.666666666666666
2020-01-02,Canaccord Genuity,34.333333333333336,25.0
2020-01-06,RBC Capital,21.0,19.333333333333332
2020-01-07,Argus Research,37.06666666666667,0.0
2020-01-09,Baird,35.0,23.666666666666668
2020-01-09,CFRA,5.333333333333333,0.0
2020-01-10,Piper Sandler,36.86666666666667,28.2
2020-01-13,Oppenheimer,40.8,25.666666666666668
2020-01-14,Jefferies,40.0,26.666666666666668
2020-01-16,Morgan Stanley,24.0,16.666666666666668
2020-01-21,New Street Research,53.333333333333336,35.333333333333336
2020-01-22,Wedbush,36.666666666666664,24.666666666666668
2020-01-23,Exane BNP Paribas,7.4,0.0
2020-01-29,B of A Securities,23.333333333333332,16.0
2020-01-30,Piper Sandler,48.6,36.86666666666667
2020-01-30,Deutsche Bank,6.8,6.066666666666666
2020-01-30,Baird,8.666666666666666,7.0
2020-01-30,RBC Capital,35.333333333333336,21.0
2020-01-30,Roth Capital,23.333333333333332,16.666666666666668
2020-01-30,Credit Suisse,27.666666666666668,22.666666666666668
2020-01-30,Canaccord Genuity,50.0,34.333333333333336
2020-01-30,B of A Securities,24.666666666666668,23.333333333333332
2020-01-30,Oppenheimer,45.6,40.8
2020-01-30,JP Morgan,17.333333333333332,16.0
2020-02-03,Argus Research,53.86666666666667,37.06666666666667
2020-02-13,Baird,43.333333333333336,0.0
2020-02-18,Bernstein,48.666666666666664,21.666666666666668
2020-02-18,Morgan Stanley,33.333333333333336,24.0
2020-02-18,Cowen & Co.,19.333333333333332,18.666666666666668
2020-02-18,Evercore ISI Group,36.666666666666664,16.666666666666668
2020-02-25,Jefferies,53.333333333333336,40.0
2020-03-12,Morgan Stanley,32.0,33.333333333333336
2020-03-18,B of A Securities,33.333333333333336,24.666666666666668
2020-03-19,Morgan Stanley,30.666666666666668,32.0
2020-03-19,Wedbush,28.333333333333332,47.333333333333336
2020-03-19,Canaccord Genuity,26.666666666666668,50.0
2020-03-20,Baird,35.0,0.0
2020-03-24,Citigroup,16.4,20.8
2020-03-24,Morgan Stanley,29.333333333333332,30.666666666666668
2020-03-27,Piper Sandler,54.666666666666664,61.86666666666667
2020-03-30,Wedbush,28.333333333333332,28.333333333333332
2020-03-31,Credit Suisse,27.666666666666668,27.666666666666668
2020-04-06,Jefferies,43.333333333333336,53.333333333333336
2020-04-06,Baird,35.0,35.0
2020-04-14,Credit Suisse,38.666666666666664,27.666666666666668
2020-04-15,Goldman Sachs,57.6,0.0
2020-04-22,B of A Securities,32.333333333333336,33.333333333333336
2020-04-30,CFRA,51.666666666666664,32.0
2020-04-30,B of A Securities,33.333333333333336,32.333333333333336
